LoanID,ApplicationID,CustomerID,Product,LoanAmount,InterestRate,LoanTermDays,DisbursementDate,OutstandingBalance,LoanStatus
L0000074,APP0000097,C001671,Nano,222.55,14.31,30,2025-05-31,125.29,Defaulted
L0000075,APP0000098,C002120,ACS,26.49,7.44,7,2025-04-04,21.67,Defaulted
L0000076,APP0000099,C000642,ACS,10.22,8.3,7,2025-06-28,4.25,Active
L0000077,APP0000100,C002780,ACS,26.01,8.74,7,2025-07-09,7.13,Active
L0000078,APP0000101,C000620,Nano,141.79,16.93,30,2025-04-06,0.0,Closed
L0000079,APP0000102,C002748,ACS,21.18,8.38,7,2025-05-03,3.14,Active
L0000080,APP0000103,C001844,ACS,16.61,8.79,7,2025-09-15,8.58,Active
L0000081,APP0000104,C002987,Nano,228.65,13.7,30,2025-02-07,0.0,Closed
L0000082,APP0000105,C000757,ACS,23.02,6.69,7,2025-03-29,0.0,Active
L0000083,APP0000107,C000075,BNPL,958.35,2.58,120,2025-07-17,302.09,Active
L0000084,APP0000109,C001760,BNPL,404.19,3.44,156,2025-04-08,0.0,Active
L0000085,APP0000112,C004152,Nano,92.51,17.12,30,2025-08-14,47.03,Active
L0000086,APP0000114,C003967,ACS,9.68,9.1,7,2025-01-27,0.0,Active
L0000087,APP0000115,C003278,Nano,177.52,14.73,30,2025-08-31,77.84,Active
L0000088,APP0000116,C003397,Nano,229.85,14.45,30,2025-04-06,0.0,Closed
L0000089,APP0000118,C001283,Nano,106.12,13.98,30,2025-03-15,51.41,Defaulted
L0000090,APP0000119,C004245,Nano,32.63,15.45,30,2025-09-24,16.85,Active
L0000091,APP0000120,C004279,Nano,52.09,15.69,30,2025-07-03,17.97,Active
L0000092,APP0000122,C001399,ACS,11.87,8.21,7,2025-06-26,3.41,Active
L0000093,APP0000125,C000934,Nano,50.46,14.23,30,2025-04-05,5.82,Active
L0000094,APP0000126,C000555,BNPL,754.78,4.11,163,2025-07-17,205.88,Active
L0000095,APP0000127,C002014,Nano,186.24,14.6,30,2025-05-23,64.05,Active
L0000096,APP0000128,C002737,ACS,11.55,6.07,7,2025-02-19,7.21,Defaulted
L0000097,APP0000129,C004469,ACS,8.39,7.18,7,2025-05-23,0.15,Closed
L0000098,APP0000130,C001595,Nano,31.68,15.03,30,2025-06-10,9.21,Active
L0000099,APP0000131,C001082,Nano,210.31,13.87,30,2025-01-08,0.0,Closed
L0000100,APP0000132,C003523,ACS,10.34,6.92,7,2025-02-28,0.0,Closed
L0000101,APP0000133,C004376,Nano,140.71,12.75,30,2025-04-18,9.78,Active
L0000102,APP0000134,C004277,BNPL,631.1,4.5,140,2025-02-18,0.0,Active
L0000103,APP0000135,C003163,ACS,13.91,7.8,7,2025-03-30,0.0,Closed
L0000104,APP0000137,C003265,Nano,166.77,16.03,30,2025-06-17,41.84,Active
L0000105,APP0000138,C000572,BNPL,945.0,2.33,147,2025-03-28,0.0,Active
L0000106,APP0000139,C003938,ACS,8.21,7.51,7,2025-03-01,0.0,Closed
L0000107,APP0000140,C004628,Nano,125.32,13.38,30,2025-07-02,75.01,Active
L0000108,APP0000141,C003054,ACS,12.86,6.05,7,2025-04-26,1.25,Active
L0000109,APP0000145,C003800,ACS,12.85,6.81,7,2025-09-06,6.52,Active
L0000110,APP0000153,C002646,ACS,21.97,9.26,7,2025-03-24,0.0,Closed
L0000111,APP0000155,C003382,Nano,45.37,15.46,30,2025-04-23,28.51,Defaulted
L0000112,APP0000156,C001844,ACS,18.85,7.98,7,2025-06-16,7.87,Active
L0000113,APP0000157,C003111,Nano,39.37,14.36,30,2025-06-24,12.94,Active
L0000114,APP0000158,C003552,BNPL,434.76,4.48,112,2025-08-08,204.58,Active
L0000115,APP0000159,C003908,Nano,146.17,16.27,30,2025-10-19,93.11,Active
L0000116,APP0000160,C001383,ACS,7.12,9.21,7,2025-07-10,1.91,Active
L0000117,APP0000161,C004581,ACS,11.08,8.79,7,2025-04-08,0.0,Closed
L0000118,APP0000162,C004988,Nano,180.24,17.76,30,2025-06-26,26.1,Active
L0000119,APP0000165,C001924,Nano,206.65,13.49,30,2025-01-25,0.0,Active
L0000120,APP0000166,C001528,ACS,17.44,8.28,7,2025-02-01,0.0,Closed
L0000121,APP0000167,C000933,ACS,18.98,7.69,7,2025-04-27,6.85,Active
L0000122,APP0000168,C000840,Nano,110.49,12.34,30,2025-08-10,43.99,Active
L0000123,APP0000171,C000479,Nano,273.91,13.96,30,2025-02-16,0.0,Closed
L0000124,APP0000173,C001399,ACS,10.08,8.96,7,2025-04-17,0.59,Active
L0000125,APP0000174,C001235,ACS,11.3,6.19,7,2025-06-03,2.25,Active
L0000126,APP0000175,C002861,Nano,240.58,14.51,30,2025-06-03,34.87,Active
L0000127,APP0000177,C000416,ACS,18.88,6.6,7,2025-04-18,0.87,Active
L0000128,APP0000180,C000314,ACS,21.21,9.66,7,2025-03-18,0.0,Closed
L0000129,APP0000181,C004383,ACS,22.15,7.07,7,2025-05-01,1.0,Active
L0000130,APP0000182,C003217,Nano,165.09,15.71,30,2025-08-15,83.17,Active
L0000131,APP0000183,C003693,ACS,22.59,8.69,7,2025-09-07,11.55,Active
L0000132,APP0000184,C003051,Nano,236.49,12.25,30,2025-05-08,89.36,Active
L0000133,APP0000186,C003859,Nano,85.74,15.39,30,2025-03-12,19.04,Defaulted
L0000134,APP0000187,C001724,ACS,20.54,7.3,7,2025-03-23,0.0,Closed
L0000135,APP0000190,C004183,ACS,19.57,7.37,7,2025-10-10,14.55,Active
L0000136,APP0000191,C002773,ACS,16.09,6.84,7,2025-06-08,2.38,Active
L0000137,APP0000192,C000191,ACS,5.81,6.55,7,2025-04-06,4.98,Defaulted
L0000138,APP0000193,C000077,Nano,278.08,17.01,30,2025-06-11,145.71,Active
L0000139,APP0000196,C000405,ACS,17.64,7.73,7,2025-04-04,14.94,Defaulted
L0000140,APP0000197,C002054,BNPL,315.28,2.2,114,2025-05-11,75.86,Active
L0000141,APP0000198,C002027,Nano,276.35,17.65,30,2025-05-03,6.24,Closed
L0000142,APP0000199,C002295,ACS,16.21,8.97,7,2025-07-01,5.44,Active
L0000143,APP0000200,C002805,ACS,26.35,6.57,7,2025-04-04,22.79,Defaulted
L0000144,APP0000204,C004624,Nano,58.7,13.91,30,2025-04-28,48.94,Defaulted
L0000145,APP0000205,C001623,BNPL,157.95,3.37,100,2025-05-25,67.61,Active
L0000146,APP0000206,C004609,ACS,21.58,8.69,7,2025-02-01,0.0,Closed
L0000147,APP0000207,C004811,ACS,27.88,8.35,7,2025-04-07,0.0,Closed
L0000148,APP0000209,C002038,ACS,11.07,9.12,7,2025-02-21,9.57,Defaulted
L0000149,APP0000210,C003496,BNPL,459.77,2.63,121,2025-03-17,0.0,Closed
L0000150,APP0000211,C002293,BNPL,938.85,2.62,149,2025-03-01,379.3,Defaulted
L0000151,APP0000213,C001296,ACS,29.29,6.31,7,2025-02-09,0.0,Closed
L0000152,APP0000214,C004786,BNPL,796.39,2.81,170,2025-03-04,453.98,Defaulted
L0000153,APP0000215,C003491,Nano,117.55,16.38,30,2025-06-09,16.49,Active
L0000154,APP0000216,C000420,ACS,6.32,8.68,7,2025-04-08,0.0,Active
L0000155,APP0000217,C001216,Nano,192.31,17.69,30,2025-06-14,47.5,Active
L0000156,APP0000218,C003086,BNPL,905.19,4.05,157,2025-05-01,24.85,Closed
L0000157,APP0000219,C001466,ACS,16.17,7.24,7,2025-07-01,4.37,Active
L0000158,APP0000221,C003233,ACS,24.82,8.89,7,2025-04-28,0.0,Active
L0000159,APP0000222,C001737,Nano,131.81,13.51,30,2025-01-14,0.0,Closed
L0000160,APP0000226,C001398,Nano,179.57,14.27,30,2025-03-08,0.0,Active
L0000161,APP0000227,C001479,ACS,15.97,7.53,7,2025-06-10,8.75,Active
L0000162,APP0000228,C000180,ACS,13.22,7.27,7,2025-10-06,8.47,Active
L0000163,APP0000230,C003889,Nano,285.33,14.96,30,2025-01-11,0.0,Closed
L0000164,APP0000231,C003844,Nano,106.06,12.43,30,2025-06-27,16.45,Active
L0000165,APP0000232,C000434,ACS,6.4,7.28,7,2025-10-30,4.04,Active
L0000166,APP0000233,C002763,ACS,26.96,8.46,7,2025-01-09,0.0,Active
L0000167,APP0000234,C001641,ACS,5.46,6.44,7,2025-02-21,0.0,Closed
L0000168,APP0000235,C003488,BNPL,157.49,4.55,125,2025-09-28,98.39,Active
L0000169,APP0000237,C003998,ACS,23.67,6.03,7,2025-02-15,6.59,Defaulted
L0000170,APP0000238,C003119,BNPL,161.77,3.53,123,2025-07-30,88.56,Active
L0000171,APP0000239,C001000,Nano,158.82,16.73,30,2025-06-12,108.71,Active
L0000172,APP0000240,C003332,ACS,8.45,8.09,7,2025-04-06,1.23,Active
L0000173,APP0000245,C002546,ACS,12.66,9.06,7,2025-05-07,0.62,Active
L0000174,APP0000246,C000688,BNPL,856.44,4.12,109,2025-08-02,336.96,Active
L0000175,APP0000247,C003185,Nano,279.49,17.7,30,2025-02-05,0.0,Active
L0000176,APP0000248,C000690,BNPL,566.84,2.56,109,2025-03-07,0.0,Active
L0000177,APP0000249,C001302,ACS,8.08,8.5,7,2025-01-23,0.0,Active
L0000178,APP0000250,C002552,BNPL,390.16,2.32,155,2025-04-13,0.0,Closed
L0000179,APP0000251,C002393,Nano,249.89,12.21,30,2025-02-17,0.0,Closed
L0000180,APP0000252,C001919,ACS,10.2,9.33,7,2025-01-16,0.0,Active
L0000181,APP0000254,C004566,ACS,29.07,7.95,7,2025-07-17,13.37,Active
L0000182,APP0000255,C004615,BNPL,595.89,4.13,98,2025-08-24,236.24,Active
L0000183,APP0000256,C002555,Nano,149.38,15.14,30,2025-04-16,0.0,Closed
L0000184,APP0000258,C002260,BNPL,582.82,2.58,115,2025-01-14,0.0,Closed
L0000185,APP0000259,C004486,ACS,17.37,6.38,7,2025-03-09,5.52,Defaulted
L0000186,APP0000260,C004312,Nano,104.06,14.83,30,2025-07-14,28.01,Active
L0000187,APP0000261,C000272,Nano,209.19,12.6,30,2025-02-15,0.0,Closed
L0000188,APP0000262,C003981,ACS,22.85,9.21,7,2025-05-06,0.63,Closed
L0000189,APP0000263,C000150,ACS,8.38,6.12,7,2025-03-22,0.0,Active
L0000190,APP0000264,C003570,ACS,24.52,9.17,7,2025-05-21,0.66,Closed
L0000191,APP0000268,C001174,Nano,63.81,17.65,30,2025-06-13,9.28,Active
L0000192,APP0000271,C004190,ACS,20.04,6.96,7,2025-03-18,5.58,Active
L0000193,APP0000273,C001939,BNPL,322.22,2.78,102,2025-09-18,165.45,Active
L0000194,APP0000274,C002685,ACS,6.28,9.04,7,2025-04-18,0.0,Closed
L0000195,APP0000275,C001137,ACS,25.24,9.49,7,2025-05-20,1.4,Active
L0000196,APP0000276,C004258,Nano,46.48,16.27,30,2025-05-08,18.62,Active
L0000197,APP0000277,C002993,Nano,191.63,17.06,30,2025-02-14,0.0,Active
L0000198,APP0000278,C002576,ACS,5.75,8.24,7,2025-03-14,3.11,Defaulted
L0000199,APP0000279,C000694,ACS,19.78,7.24,7,2025-06-30,15.42,Defaulted
L0000200,APP0000281,C000828,ACS,21.64,6.72,7,2025-07-06,7.55,Active
L0000201,APP0000282,C000157,ACS,24.18,7.71,7,2025-08-27,9.39,Active
L0000202,APP0000283,C002674,Nano,294.11,14.12,30,2025-05-11,22.1,Active
L0000203,APP0000284,C004303,BNPL,770.77,2.14,104,2025-03-23,0.0,Closed
L0000204,APP0000285,C003791,Nano,285.02,15.88,30,2025-03-14,0.0,Closed
L0000205,APP0000286,C001122,ACS,28.28,6.38,7,2025-09-11,14.5,Active
L0000206,APP0000288,C002629,BNPL,459.73,2.2,129,2025-03-08,0.0,Active
L0000207,APP0000289,C003888,ACS,15.31,7.0,7,2025-08-15,6.38,Active
L0000208,APP0000290,C003884,BNPL,411.26,4.41,104,2025-04-21,0.0,Closed
L0000209,APP0000291,C002610,Nano,227.04,15.19,30,2025-06-25,32.68,Active
L0000210,APP0000293,C002416,ACS,28.03,6.57,7,2025-02-04,0.0,Closed
L0000211,APP0000294,C003688,Nano,176.41,15.93,30,2025-04-02,0.0,Closed
L0000212,APP0000295,C004399,ACS,12.64,8.56,7,2025-02-14,0.0,Closed
L0000213,APP0000296,C000377,BNPL,859.79,2.61,110,2025-02-25,361.57,Active
L0000214,APP0000297,C003872,ACS,22.1,6.35,7,2025-03-03,8.39,Active
L0000215,APP0000298,C003744,ACS,12.92,8.08,7,2025-02-03,0.0,Closed
L0000216,APP0000299,C001067,ACS,27.38,9.78,7,2025-09-18,13.89,Active
L0000217,APP0000305,C000978,BNPL,223.26,2.62,125,2025-01-18,0.0,Active
L0000218,APP0000306,C004458,Nano,270.16,14.45,30,2025-04-22,0.0,Active
L0000219,APP0000307,C000430,ACS,6.01,7.47,7,2025-05-03,3.69,Defaulted
L0000220,APP0000308,C002673,BNPL,595.02,4.03,109,2025-07-18,275.26,Active
L0000221,APP0000309,C001633,ACS,6.48,9.51,7,2025-04-27,1.38,Active
L0000222,APP0000310,C004216,ACS,25.8,9.6,7,2025-04-23,16.09,Defaulted
L0000223,APP0000313,C001980,BNPL,987.24,2.94,149,2025-01-20,0.0,Closed
L0000224,APP0000314,C004035,BNPL,698.13,3.77,110,2025-06-29,109.65,Active
L0000225,APP0000317,C001983,ACS,28.78,6.64,7,2025-05-16,0.77,Closed
L0000226,APP0000318,C002250,ACS,19.69,9.5,7,2025-02-25,2.7,Active
L0000227,APP0000320,C003290,Nano,37.2,17.94,30,2025-06-07,5.45,Active
L0000228,APP0000322,C001433,ACS,9.65,6.13,7,2025-09-14,4.96,Active
L0000229,APP0000323,C002333,ACS,13.52,8.2,7,2025-05-04,9.73,Active
L0000230,APP0000324,C004594,ACS,21.22,7.77,7,2025-03-20,0.0,Closed
L0000231,APP0000326,C004541,Nano,179.23,12.91,30,2025-04-28,0.0,Closed
L0000232,APP0000327,C002634,Nano,49.3,14.98,30,2025-04-04,0.0,Closed
L0000233,APP0000328,C000364,Nano,21.13,15.76,30,2025-04-21,3.06,Active
L0000234,APP0000329,C002920,ACS,26.81,7.14,7,2025-01-19,0.0,Closed
L0000235,APP0000330,C004584,Nano,96.76,13.98,30,2025-02-01,9.12,Active
L0000236,APP0000331,C004411,Nano,207.91,15.04,30,2025-04-05,19.62,Active
L0000237,APP0000332,C000910,BNPL,798.2,4.23,150,2025-03-01,0.0,Active
L0000238,APP0000335,C002185,Nano,237.0,17.36,30,2025-06-23,34.97,Active
L0000239,APP0000337,C002603,ACS,24.85,8.16,7,2025-05-05,9.73,Active
L0000240,APP0000338,C001207,Nano,162.86,17.24,30,2025-06-27,23.25,Active
L0000241,APP0000340,C000564,ACS,20.63,6.68,7,2025-03-21,0.0,Closed
L0000242,APP0000343,C001111,ACS,21.04,7.22,7,2025-02-19,17.09,Defaulted
L0000243,APP0000344,C002213,ACS,26.88,7.5,7,2025-05-25,3.35,Active
L0000244,APP0000345,C000900,Nano,126.82,12.8,30,2025-03-15,17.44,Active
L0000245,APP0000346,C002434,Nano,169.01,16.84,30,2025-08-07,65.67,Active
L0000246,APP0000347,C004829,ACS,22.93,8.33,7,2025-08-06,9.06,Active
L0000247,APP0000348,C003810,ACS,23.54,9.2,7,2025-05-10,0.62,Closed
L0000248,APP0000349,C003822,ACS,21.12,6.1,7,2025-01-19,0.0,Active
L0000249,APP0000351,C001537,ACS,22.58,8.77,7,2025-06-03,17.55,Active
L0000250,APP0000352,C000486,Nano,257.04,12.94,30,2025-10-23,162.13,Active
L0000251,APP0000353,C004606,ACS,27.43,8.47,7,2025-01-21,6.04,Active
L0000252,APP0000354,C004789,Nano,140.12,13.56,30,2025-04-20,0.0,Closed
L0000253,APP0000355,C001695,Nano,219.35,14.17,30,2025-01-17,11.14,Defaulted
L0000254,APP0000356,C003499,Nano,133.1,14.42,30,2025-06-03,104.0,Defaulted
L0000255,APP0000357,C001056,ACS,26.52,7.93,7,2025-06-07,3.92,Active
L0000256,APP0000358,C003261,ACS,25.77,7.71,7,2025-02-12,0.0,Closed
L0000257,APP0000360,C001665,ACS,17.24,8.75,7,2025-01-31,0.0,Closed
L0000258,APP0000361,C001967,ACS,18.45,8.74,7,2025-02-21,7.37,Defaulted
L0000259,APP0000362,C004979,Nano,244.24,12.62,30,2025-08-16,96.23,Active
L0000260,APP0000365,C000236,ACS,11.0,9.51,7,2025-05-06,1.82,Active
L0000261,APP0000366,C000891,Nano,188.83,12.57,30,2025-03-07,138.87,Defaulted
L0000262,APP0000367,C001212,ACS,16.91,6.69,7,2025-04-02,0.0,Closed
L0000263,APP0000369,C000682,Nano,46.34,15.29,30,2025-10-24,29.19,Active
L0000264,APP0000370,C003695,ACS,28.16,6.43,7,2025-03-11,22.09,Defaulted
L0000265,APP0000371,C001935,Nano,183.38,13.64,30,2025-04-24,0.0,Closed
L0000266,APP0000372,C001186,ACS,12.36,9.33,7,2025-04-17,4.27,Defaulted
L0000267,APP0000375,C003420,ACS,16.2,7.16,7,2025-08-21,6.32,Active
L0000268,APP0000377,C004662,BNPL,387.82,4.39,177,2025-03-26,0.0,Closed
L0000269,APP0000379,C001835,ACS,14.61,6.74,7,2025-03-11,0.0,Closed
L0000270,APP0000385,C000103,Nano,82.04,14.76,30,2025-06-15,12.39,Active
L0000271,APP0000386,C001731,Nano,192.99,13.47,30,2025-08-15,75.08,Active
L0000272,APP0000387,C004418,ACS,13.21,7.65,7,2025-01-08,0.0,Active
L0000273,APP0000389,C004873,ACS,25.58,6.36,7,2025-06-01,4.23,Active
L0000274,APP0000390,C004870,BNPL,630.29,3.56,169,2025-02-10,349.16,Defaulted
L0000275,APP0000391,C004319,Nano,166.93,16.92,30,2025-02-08,67.57,Defaulted
L0000276,APP0000394,C000500,ACS,26.32,6.3,7,2025-04-10,12.84,Active
L0000277,APP0000395,C004596,Nano,254.24,17.13,30,2025-03-28,0.0,Closed
L0000278,APP0000396,C001832,Nano,40.28,17.02,30,2025-06-21,6.0,Active
L0000279,APP0000397,C002249,BNPL,278.92,3.85,150,2025-06-11,70.23,Active
L0000280,APP0000398,C000401,Nano,54.68,16.98,30,2025-07-01,15.15,Active
L0000281,APP0000399,C000300,Nano,105.24,12.46,30,2025-08-26,46.61,Active
L0000282,APP0000401,C002028,ACS,9.42,7.13,7,2025-04-28,0.16,Closed
L0000283,APP0000402,C003501,ACS,22.66,6.24,7,2025-05-12,0.67,Closed
L0000284,APP0000403,C004171,ACS,21.73,9.7,7,2025-02-17,2.0,Active
L0000285,APP0000404,C000283,Nano,99.14,12.39,30,2025-07-10,27.22,Active
L0000286,APP0000405,C004852,ACS,25.6,9.77,7,2025-10-20,17.54,Active
L0000287,APP0000407,C002867,ACS,15.79,6.6,7,2025-02-28,0.0,Active
L0000288,APP0000408,C001871,Nano,26.08,16.27,30,2025-05-31,2.09,Active
L0000289,APP0000409,C000834,Nano,203.67,17.77,30,2025-04-27,113.48,Active
L0000290,APP0000410,C001174,ACS,24.57,9.09,7,2025-02-26,0.0,Closed
L0000291,APP0000414,C000729,Nano,216.64,12.87,30,2025-07-06,58.66,Active
L0000292,APP0000415,C003774,ACS,29.06,7.73,7,2025-07-17,21.3,Defaulted
L0000293,APP0000417,C001479,Nano,252.4,16.6,30,2025-02-22,0.0,Closed
L0000294,APP0000418,C002401,Nano,233.08,12.29,30,2025-07-21,139.65,Active
L0000295,APP0000419,C002885,ACS,27.17,6.53,7,2025-07-13,7.13,Active
L0000296,APP0000420,C003993,ACS,21.58,8.35,7,2025-02-12,0.0,Closed
L0000297,APP0000421,C000256,ACS,28.66,8.1,7,2025-02-17,24.97,Defaulted
L0000298,APP0000422,C001136,Nano,276.83,15.26,30,2025-04-19,0.0,Closed
L0000299,APP0000423,C000750,ACS,5.84,9.46,7,2025-06-30,1.04,Active
L0000300,APP0000425,C003365,ACS,13.19,8.59,7,2025-01-20,0.0,Closed
L0000301,APP0000426,C002064,ACS,26.17,8.96,7,2025-02-27,0.0,Closed
L0000302,APP0000427,C002461,ACS,15.23,8.81,7,2025-08-31,9.52,Active
L0000303,APP0000429,C000027,ACS,27.7,8.78,7,2025-03-10,0.0,Closed
L0000304,APP0000430,C000489,ACS,14.1,6.26,7,2025-03-24,0.0,Active
L0000305,APP0000431,C001136,ACS,19.37,9.88,7,2025-03-03,5.55,Defaulted
L0000306,APP0000432,C000226,Nano,27.74,15.08,30,2025-09-13,14.02,Active
L0000307,APP0000433,C004112,ACS,13.93,9.15,7,2025-09-04,7.07,Active
L0000308,APP0000436,C003333,ACS,8.97,9.47,7,2025-01-05,1.94,Defaulted
L0000309,APP0000437,C000282,ACS,28.85,7.17,7,2025-03-30,12.71,Active
L0000310,APP0000438,C000274,ACS,19.59,7.21,7,2025-06-06,2.95,Active
L0000311,APP0000439,C003025,Nano,178.16,13.68,30,2025-06-11,106.5,Active
L0000312,APP0000440,C003863,Nano,249.71,12.61,30,2025-10-27,158.68,Active
L0000313,APP0000441,C004647,ACS,18.93,7.34,7,2025-08-27,7.31,Active
L0000314,APP0000442,C001806,Nano,200.95,14.4,30,2025-05-02,33.5,Active
L0000315,APP0000444,C003983,Nano,125.7,15.16,30,2025-04-24,7.39,Active
L0000316,APP0000445,C000704,Nano,96.62,16.67,30,2025-03-07,62.32,Defaulted
