ApplicationID,CustomerID,ApplicationDate,Product,RequestedAmount,BehavioralScoreAtDecision,Decision,DeclineReason
APP0000033,C002431,2025-03-31,Nano,130.06,474,Approved,
APP0000034,C004506,2025-07-08,ACS,6.72,631,Approved,
APP0000035,C003402,2025-02-22,ACS,13.36,634,Approved,
APP0000036,C000214,2025-09-14,Nano,292.63,666,Approved,
APP0000037,C004512,2025-01-14,Nano,229.28,842,Approved,
APP0000038,C000251,2025-03-02,ACS,28.39,781,Approved,
APP0000039,C001252,2025-05-12,BNPL,382.58,776,Approved,
APP0000040,C002758,2025-04-01,Nano,81.99,547,Approved,
APP0000041,C004520,2025-08-09,ACS,6.78,630,Approved,
APP0000042,C000835,2025-11-11,Nano,176.32,548,Declined,Low Behavioural Score
APP0000043,C002691,2025-01-14,BNPL,829.7,561,Declined,High Existing Exposure
APP0000044,C000564,2025-04-13,ACS,29.41,544,Declined,Low Behavioural Score
APP0000045,C001699,2025-02-25,BNPL,286.64,787,Approved,
APP0000046,C001302,2025-08-07,Nano,39.78,871,Approved,
APP0000047,C002140,2025-02-16,Nano,144.63,715,Approved,
APP0000048,C003548,2025-05-18,Nano,131.07,527,Declined,Low Behavioural Score
APP0000049,C003604,2025-03-30,ACS,20.34,518,Approved,
APP0000050,C003359,2025-02-24,Nano,182.15,572,Declined,Incomplete Data
APP0000051,C000138,2025-03-11,Nano,182.15,584,Approved,
APP0000052,C003926,2025-07-16,Nano,289.27,568,Approved,
APP0000053,C003234,2025-03-04,Nano,246.59,668,Approved,
APP0000054,C000314,2025-10-20,Nano,158.75,873,Approved,
APP0000055,C004734,2025-07-17,ACS,9.84,779,Approved,
APP0000056,C003833,2025-05-25,ACS,25.95,658,Declined,High Existing Exposure
APP0000057,C003459,2025-09-27,BNPL,149.3,677,Approved,
APP0000058,C002454,2025-08-31,Nano,122.73,712,Approved,
APP0000059,C003974,2025-02-16,Nano,112.1,576,Declined,Incomplete Data
APP0000060,C001565,2025-06-06,ACS,5.86,544,Declined,Duplicate Application
APP0000061,C003624,2025-01-21,ACS,13.6,854,Approved,
APP0000062,C003052,2025-02-01,ACS,10.16,731,Approved,
APP0000063,C003052,2025-02-11,BNPL,672.87,720,Approved,
APP0000064,C003998,2025-02-06,ACS,12.3,612,Approved,
APP0000065,C000866,2025-01-29,BNPL,932.57,462,Approved,
APP0000066,C000520,2025-03-04,Nano,225.24,877,Approved,
APP0000067,C002777,2025-05-03,BNPL,215.56,641,Approved,
APP0000068,C004037,2025-06-24,ACS,24.48,727,Approved,
APP0000069,C001268,2025-02-18,BNPL,936.53,569,Approved,
APP0000070,C002848,2025-02-25,ACS,6.2,706,Approved,
APP0000071,C004786,2025-06-29,ACS,15.14,603,Approved,
APP0000072,C003101,2025-05-08,Nano,270.32,368,Declined,Low Behavioural Score
APP0000073,C000394,2025-03-17,BNPL,243.44,639,Approved,
APP0000074,C004395,2025-01-26,Nano,247.85,743,Approved,
APP0000075,C004881,2025-02-21,Nano,55.03,322,Declined,Low Behavioural Score
APP0000076,C003550,2025-03-17,BNPL,325.36,531,Approved,
APP0000077,C003053,2025-01-27,BNPL,693.58,538,Approved,
APP0000078,C002918,2025-05-03,Nano,27.44,740,Declined,High Existing Exposure
APP0000079,C003117,2025-01-11,Nano,239.44,579,Approved,
APP0000080,C001681,2025-01-12,ACS,21.84,591,Declined,Policy Rule Failure
APP0000081,C003224,2025-10-16,Nano,285.35,536,Approved,
APP0000082,C002552,2025-04-23,Nano,21.68,582,Approved,
APP0000083,C003961,2025-04-06,Nano,74.48,725,Approved,
APP0000084,C004183,2025-09-16,Nano,136.98,597,Approved,
APP0000085,C003550,2025-05-03,BNPL,745.03,519,Declined,Policy Rule Failure
APP0000086,C004979,2025-03-11,ACS,17.2,773,Approved,
APP0000087,C002244,2025-09-06,Nano,50.66,766,Approved,
APP0000088,C003781,2025-09-10,Nano,34.0,649,Approved,
APP0000089,C001714,2025-06-25,Nano,117.09,632,Approved,
APP0000090,C003951,2025-06-15,Nano,64.57,781,Approved,
APP0000091,C001337,2025-05-16,Nano,69.41,448,Approved,
APP0000092,C003498,2025-04-14,Nano,102.62,657,Approved,
APP0000093,C000072,2025-05-19,Nano,183.12,792,Approved,
APP0000094,C003835,2025-06-29,BNPL,805.92,722,Approved,
APP0000095,C001453,2025-05-06,ACS,10.21,594,Approved,
APP0000096,C001216,2025-04-27,ACS,15.77,400,Approved,
APP0000097,C001671,2025-05-31,Nano,222.55,681,Approved,
APP0000098,C002120,2025-04-02,ACS,26.49,657,Approved,
APP0000099,C000642,2025-06-28,ACS,10.22,747,Approved,
APP0000100,C002780,2025-07-07,ACS,26.01,739,Approved,
APP0000101,C000620,2025-04-06,Nano,141.79,749,Approved,
APP0000102,C002748,2025-05-02,ACS,21.18,662,Approved,
APP0000103,C001844,2025-09-13,ACS,16.61,664,Approved,
APP0000104,C002987,2025-02-06,Nano,228.65,695,Approved,
APP0000105,C000757,2025-03-27,ACS,23.02,722,Approved,
APP0000106,C004868,2025-06-29,ACS,17.95,324,Declined,Fraud Flag
APP0000107,C000075,2025-07-15,BNPL,958.35,509,Approved,
APP0000108,C004277,2025-04-27,ACS,27.59,564,Approved,
APP0000109,C001760,2025-04-07,BNPL,404.19,677,Approved,
APP0000110,C004140,2025-03-22,BNPL,207.99,763,Approved,
APP0000111,C002982,2025-02-08,ACS,8.67,388,Declined,Duplicate Application
APP0000112,C004152,2025-08-13,Nano,92.51,671,Approved,
APP0000113,C002776,2025-01-17,ACS,21.35,346,Declined,Low Behavioural Score
APP0000114,C003967,2025-01-27,ACS,9.68,664,Approved,
APP0000115,C003278,2025-08-29,Nano,177.52,872,Approved,
APP0000116,C003397,2025-04-06,Nano,229.85,515,Approved,
APP0000117,C002858,2025-05-19,BNPL,286.52,388,Declined,Fraud Flag
APP0000118,C001283,2025-03-14,Nano,106.12,601,Approved,
APP0000119,C004245,2025-09-24,Nano,32.63,646,Approved,
APP0000120,C004279,2025-07-01,Nano,52.09,641,Approved,
APP0000121,C003616,2025-02-11,ACS,14.36,475,Declined,Low Behavioural Score
APP0000122,C001399,2025-06-25,ACS,11.87,509,Approved,
APP0000123,C002037,2025-03-06,Nano,79.78,692,Declined,Low Behavioural Score
APP0000124,C003625,2025-03-06,Nano,111.48,360,Declined,Incomplete Data
APP0000125,C000934,2025-04-03,Nano,50.46,690,Approved,
APP0000126,C000555,2025-07-17,BNPL,754.78,764,Approved,
APP0000127,C002014,2025-05-22,Nano,186.24,407,Approved,
APP0000128,C002737,2025-02-19,ACS,11.55,578,Approved,
APP0000129,C004469,2025-05-22,ACS,8.39,641,Approved,
APP0000130,C001595,2025-06-09,Nano,31.68,625,Approved,
APP0000131,C001082,2025-01-07,Nano,210.31,654,Approved,
APP0000132,C003523,2025-02-27,ACS,10.34,700,Approved,
APP0000133,C004376,2025-04-17,Nano,140.71,614,Approved,
APP0000134,C004277,2025-02-17,BNPL,631.1,549,Approved,
APP0000135,C003163,2025-03-28,ACS,13.91,793,Approved,
APP0000136,C000078,2025-04-23,ACS,5.92,507,Declined,Low Behavioural Score
APP0000137,C003265,2025-06-16,Nano,166.77,480,Approved,
APP0000138,C000572,2025-03-27,BNPL,945.0,695,Approved,
APP0000139,C003938,2025-02-27,ACS,8.21,674,Approved,
APP0000140,C004628,2025-06-30,Nano,125.32,692,Approved,
APP0000141,C003054,2025-04-24,ACS,12.86,541,Approved,
APP0000142,C001197,2025-04-09,ACS,11.02,375,Declined,Fraud Flag
APP0000143,C001494,2025-06-17,ACS,20.78,514,Declined,Duplicate Application
APP0000144,C003654,2025-01-21,BNPL,433.16,573,Declined,Policy Rule Failure
APP0000145,C003800,2025-09-06,ACS,12.85,604,Approved,
APP0000146,C004063,2025-01-30,ACS,9.26,744,Approved,
APP0000147,C000509,2025-09-21,Nano,121.77,313,Declined,Policy Rule Failure
APP0000148,C003703,2025-02-07,BNPL,992.5,431,Declined,Duplicate Application
APP0000149,C004803,2025-06-17,ACS,26.69,521,Declined,Fraud Flag
APP0000150,C000161,2025-07-26,BNPL,186.41,453,Declined,Low Behavioural Score
APP0000151,C002156,2025-05-21,BNPL,669.05,500,Declined,Policy Rule Failure
APP0000152,C003678,2025-06-09,ACS,17.06,573,Declined,Low Behavioural Score
APP0000153,C002646,2025-03-22,ACS,21.97,719,Approved,
APP0000154,C004808,2025-04-28,ACS,28.51,391,Declined,High Existing Exposure
APP0000155,C003382,2025-04-22,Nano,45.37,565,Approved,
APP0000156,C001844,2025-06-15,ACS,18.85,643,Approved,
APP0000157,C003111,2025-06-23,Nano,39.37,663,Approved,
APP0000158,C003552,2025-08-06,BNPL,434.76,741,Approved,
APP0000159,C003908,2025-10-19,Nano,146.17,584,Approved,
APP0000160,C001383,2025-07-09,ACS,7.12,674,Approved,
APP0000161,C004581,2025-04-07,ACS,11.08,735,Approved,
APP0000162,C004988,2025-06-26,Nano,180.24,651,Approved,
APP0000163,C001079,2025-02-14,Nano,83.14,455,Declined,Low Behavioural Score
APP0000164,C001042,2025-08-03,ACS,22.99,615,Declined,Fraud Flag
APP0000165,C001924,2025-01-25,Nano,206.65,777,Approved,
APP0000166,C001528,2025-02-01,ACS,17.44,707,Approved,
APP0000167,C000933,2025-04-26,ACS,18.98,700,Approved,
APP0000168,C000840,2025-08-10,Nano,110.49,771,Approved,
APP0000169,C003550,2025-08-20,Nano,173.85,511,Declined,Policy Rule Failure
APP0000170,C004776,2025-03-19,ACS,13.03,325,Declined,Low Behavioural Score
APP0000171,C000479,2025-02-14,Nano,273.91,464,Approved,
APP0000172,C002858,2025-07-17,ACS,7.08,389,Declined,Low Behavioural Score
APP0000173,C001399,2025-04-17,ACS,10.08,508,Approved,
APP0000174,C001235,2025-06-02,ACS,11.3,792,Approved,
APP0000175,C002861,2025-06-02,Nano,240.58,682,Approved,
APP0000176,C000673,2025-03-15,Nano,146.61,501,Declined,High Existing Exposure
APP0000177,C000416,2025-04-18,ACS,18.88,816,Approved,
APP0000178,C004375,2025-04-10,ACS,12.39,502,Declined,High Existing Exposure
APP0000179,C002231,2025-08-01,BNPL,341.99,567,Declined,Duplicate Application
APP0000180,C000314,2025-03-16,ACS,21.21,880,Approved,
APP0000181,C004383,2025-05-01,ACS,22.15,737,Approved,
APP0000182,C003217,2025-08-14,Nano,165.09,774,Approved,
APP0000183,C003693,2025-09-06,ACS,22.59,531,Approved,
APP0000184,C003051,2025-05-06,Nano,236.49,544,Approved,
APP0000185,C002370,2025-07-19,Nano,48.5,482,Declined,Low Behavioural Score
APP0000186,C003859,2025-03-11,Nano,85.74,590,Approved,
APP0000187,C001724,2025-03-22,ACS,20.54,582,Approved,
APP0000188,C003410,2025-05-15,Nano,264.69,511,Declined,Fraud Flag
APP0000189,C004413,2025-08-18,Nano,247.14,370,Declined,Low Behavioural Score
APP0000190,C004183,2025-10-08,ACS,19.57,575,Approved,
APP0000191,C002773,2025-06-07,ACS,16.09,657,Approved,
APP0000192,C000191,2025-04-06,ACS,5.81,699,Approved,
APP0000193,C000077,2025-06-11,Nano,278.08,631,Approved,
APP0000194,C002152,2025-04-08,Nano,228.45,704,Declined,Incomplete Data
APP0000195,C003315,2025-02-28,Nano,99.57,458,Declined,Low Behavioural Score
APP0000196,C000405,2025-04-03,ACS,17.64,512,Approved,
APP0000197,C002054,2025-05-09,BNPL,315.28,598,Approved,
APP0000198,C002027,2025-05-01,Nano,276.35,787,Approved,
APP0000199,C002295,2025-06-29,ACS,16.21,565,Approved,
APP0000200,C002805,2025-04-02,ACS,26.35,585,Approved,
APP0000201,C001396,2025-09-16,BNPL,657.82,594,Declined,High Existing Exposure
APP0000202,C002969,2025-03-02,ACS,18.13,341,Declined,Policy Rule Failure
APP0000203,C002264,2025-02-04,ACS,27.67,497,Declined,Fraud Flag
APP0000204,C004624,2025-04-28,Nano,58.7,717,Approved,
APP0000205,C001623,2025-05-25,BNPL,157.95,651,Approved,
APP0000206,C004609,2025-01-31,ACS,21.58,730,Approved,
APP0000207,C004811,2025-04-05,ACS,27.88,747,Approved,
APP0000208,C001549,2025-04-25,Nano,57.4,469,Declined,Low Behavioural Score
APP0000209,C002038,2025-02-19,ACS,11.07,573,Approved,
APP0000210,C003496,2025-03-16,BNPL,459.77,655,Approved,
APP0000211,C002293,2025-02-27,BNPL,938.85,561,Approved,
APP0000212,C003564,2025-02-12,BNPL,867.44,549,Declined,Duplicate Application
APP0000213,C001296,2025-02-08,ACS,29.29,748,Approved,
APP0000214,C004786,2025-03-04,BNPL,796.39,604,Approved,
APP0000215,C003491,2025-06-08,Nano,117.55,492,Approved,
APP0000216,C000420,2025-04-08,ACS,6.32,697,Approved,
APP0000217,C001216,2025-06-13,Nano,192.31,391,Approved,
APP0000218,C003086,2025-05-01,BNPL,905.19,702,Approved,
APP0000219,C001466,2025-06-29,ACS,16.17,777,Approved,
APP0000220,C002037,2025-01-26,Nano,129.84,697,Declined,High Existing Exposure
APP0000221,C003233,2025-04-27,ACS,24.82,665,Approved,
APP0000222,C001737,2025-01-12,Nano,131.81,777,Approved,
APP0000223,C004521,2025-04-20,Nano,225.4,592,Declined,Incomplete Data
APP0000224,C003088,2025-06-02,ACS,10.2,533,Declined,Fraud Flag
APP0000225,C002098,2025-10-18,ACS,20.84,501,Declined,Low Behavioural Score
APP0000226,C001398,2025-03-08,Nano,179.57,745,Approved,
APP0000227,C001479,2025-06-10,ACS,15.97,774,Approved,
APP0000228,C000180,2025-10-05,ACS,13.22,579,Approved,
APP0000229,C000431,2025-04-23,BNPL,654.09,416,Approved,
APP0000230,C003889,2025-01-10,Nano,285.33,652,Approved,
APP0000231,C003844,2025-06-26,Nano,106.06,573,Approved,
APP0000232,C000434,2025-10-30,ACS,6.4,669,Approved,
APP0000233,C002763,2025-01-07,ACS,26.96,706,Approved,
APP0000234,C001641,2025-02-21,ACS,5.46,743,Approved,
APP0000235,C003488,2025-09-28,BNPL,157.49,461,Approved,
APP0000236,C002975,2025-09-17,Nano,60.14,432,Declined,Duplicate Application
APP0000237,C003998,2025-02-14,ACS,23.67,624,Approved,
APP0000238,C003119,2025-07-30,BNPL,161.77,611,Approved,
APP0000239,C001000,2025-06-12,Nano,158.82,745,Approved,
APP0000240,C003332,2025-04-04,ACS,8.45,667,Approved,
APP0000241,C004175,2025-05-22,ACS,18.9,541,Declined,Fraud Flag
APP0000242,C004973,2025-04-15,ACS,17.15,691,Declined,Incomplete Data
APP0000243,C003519,2025-05-05,Nano,107.0,647,Declined,Policy Rule Failure
APP0000244,C002007,2025-03-06,ACS,19.3,520,Declined,Low Behavioural Score
APP0000245,C002546,2025-05-07,ACS,12.66,709,Approved,
APP0000246,C000688,2025-07-31,BNPL,856.44,726,Approved,
APP0000247,C003185,2025-02-03,Nano,279.49,636,Approved,
APP0000248,C000690,2025-03-06,BNPL,566.84,887,Approved,
APP0000249,C001302,2025-01-22,ACS,8.08,873,Approved,
APP0000250,C002552,2025-04-12,BNPL,390.16,570,Approved,
APP0000251,C002393,2025-02-15,Nano,249.89,762,Approved,
APP0000252,C001919,2025-01-16,ACS,10.2,814,Approved,
APP0000253,C003237,2025-02-15,BNPL,214.71,521,Declined,High Existing Exposure
APP0000254,C004566,2025-07-16,ACS,29.07,644,Approved,
APP0000255,C004615,2025-08-24,BNPL,595.89,721,Approved,
APP0000256,C002555,2025-04-14,Nano,149.38,716,Approved,
APP0000257,C002759,2025-06-30,Nano,278.54,586,Declined,High Existing Exposure
APP0000258,C002260,2025-01-13,BNPL,582.82,777,Approved,
APP0000259,C004486,2025-03-08,ACS,17.37,670,Approved,
APP0000260,C004312,2025-07-14,Nano,104.06,538,Approved,
APP0000261,C000272,2025-02-13,Nano,209.19,770,Approved,
APP0000262,C003981,2025-05-05,ACS,22.85,604,Approved,
APP0000263,C000150,2025-03-21,ACS,8.38,708,Approved,
APP0000264,C003570,2025-05-21,ACS,24.52,749,Approved,
APP0000265,C001694,2025-02-22,ACS,16.06,465,Declined,Incomplete Data
APP0000266,C002637,2025-02-16,Nano,137.36,324,Declined,Low Behavioural Score
APP0000267,C003915,2025-05-09,BNPL,914.18,873,Approved,
APP0000268,C001174,2025-06-13,Nano,63.81,804,Approved,
APP0000269,C000665,2025-08-15,Nano,157.18,467,Declined,Low Behavioural Score
APP0000270,C002838,2025-02-28,Nano,146.24,494,Declined,Low Behavioural Score
APP0000271,C004190,2025-03-18,ACS,20.04,754,Approved,
APP0000272,C000579,2025-05-19,Nano,82.24,500,Declined,Policy Rule Failure
APP0000273,C001939,2025-09-17,BNPL,322.22,678,Approved,
APP0000274,C002685,2025-04-17,ACS,6.28,513,Approved,
APP0000275,C001137,2025-05-18,ACS,25.24,793,Approved,
APP0000276,C004258,2025-05-07,Nano,46.48,636,Approved,
APP0000277,C002993,2025-02-12,Nano,191.63,648,Approved,
APP0000278,C002576,2025-03-13,ACS,5.75,632,Approved,
APP0000279,C000694,2025-06-28,ACS,19.78,534,Approved,
APP0000280,C000343,2025-05-17,ACS,10.72,377,Declined,Low Behavioural Score
APP0000281,C000828,2025-07-04,ACS,21.64,683,Approved,
APP0000282,C000157,2025-08-26,ACS,24.18,601,Approved,
APP0000283,C002674,2025-05-10,Nano,294.11,576,Approved,
APP0000284,C004303,2025-03-22,BNPL,770.77,679,Approved,
APP0000285,C003791,2025-03-12,Nano,285.02,625,Approved,
APP0000286,C001122,2025-09-10,ACS,28.28,687,Approved,
APP0000287,C000981,2025-03-07,ACS,12.03,563,Declined,Duplicate Application
APP0000288,C002629,2025-03-06,BNPL,459.73,559,Approved,
APP0000289,C003888,2025-08-15,ACS,15.31,719,Approved,
APP0000290,C003884,2025-04-20,BNPL,411.26,628,Approved,
APP0000291,C002610,2025-06-24,Nano,227.04,740,Approved,
APP0000292,C001267,2025-06-04,ACS,14.59,642,Approved,
APP0000293,C002416,2025-02-02,ACS,28.03,860,Approved,
APP0000294,C003688,2025-03-31,Nano,176.41,653,Approved,
APP0000295,C004399,2025-02-14,ACS,12.64,536,Approved,
APP0000296,C000377,2025-02-25,BNPL,859.79,701,Approved,
APP0000297,C003872,2025-03-01,ACS,22.1,545,Approved,
APP0000298,C003744,2025-02-03,ACS,12.92,789,Approved,
APP0000299,C001067,2025-09-17,ACS,27.38,726,Approved,
APP0000300,C000320,2025-04-26,Nano,145.11,574,Declined,Fraud Flag
APP0000301,C001545,2025-08-19,BNPL,195.36,681,Declined,Duplicate Application
APP0000302,C001386,2025-04-13,BNPL,833.32,478,Declined,Incomplete Data
APP0000303,C000567,2025-08-07,ACS,22.63,526,Declined,Fraud Flag
APP0000304,C001284,2025-01-13,Nano,30.77,375,Declined,Low Behavioural Score
APP0000305,C000978,2025-01-18,BNPL,223.26,533,Approved,
APP0000306,C004458,2025-04-20,Nano,270.16,545,Approved,
APP0000307,C000430,2025-05-03,ACS,6.01,660,Approved,
APP0000308,C002673,2025-07-16,BNPL,595.02,494,Approved,
APP0000309,C001633,2025-04-25,ACS,6.48,455,Approved,
APP0000310,C004216,2025-04-21,ACS,25.8,674,Approved,
APP0000311,C002373,2025-04-19,ACS,8.96,522,Declined,Fraud Flag
APP0000312,C002912,2025-04-26,BNPL,639.96,520,Declined,Fraud Flag
APP0000313,C001980,2025-01-20,BNPL,987.24,800,Approved,
APP0000314,C004035,2025-06-29,BNPL,698.13,690,Approved,
APP0000315,C003340,2025-08-11,ACS,15.05,382,Declined,Low Behavioural Score
APP0000316,C002757,2025-03-03,ACS,14.16,487,Declined,Incomplete Data
APP0000317,C001983,2025-05-16,ACS,28.78,582,Approved,
APP0000318,C002250,2025-02-23,ACS,19.69,661,Approved,
APP0000319,C001264,2025-04-18,ACS,29.91,457,Declined,Low Behavioural Score
APP0000320,C003290,2025-06-05,Nano,37.2,888,Approved,
APP0000321,C001476,2025-06-26,BNPL,829.76,418,Declined,Incomplete Data
APP0000322,C001433,2025-09-13,ACS,9.65,786,Approved,
APP0000323,C002333,2025-05-04,ACS,13.52,586,Approved,
APP0000324,C004594,2025-03-18,ACS,21.22,711,Approved,
APP0000325,C002198,2025-04-21,Nano,245.88,488,Declined,Incomplete Data
APP0000326,C004541,2025-04-28,Nano,179.23,699,Approved,
APP0000327,C002634,2025-04-02,Nano,49.3,680,Approved,
APP0000328,C000364,2025-04-21,Nano,21.13,683,Approved,
APP0000329,C002920,2025-01-17,ACS,26.81,607,Approved,
APP0000330,C004584,2025-01-31,Nano,96.76,581,Approved,
APP0000331,C004411,2025-04-04,Nano,207.91,659,Approved,
APP0000332,C000910,2025-03-01,BNPL,798.2,755,Approved,
APP0000333,C001340,2025-09-09,ACS,22.55,458,Declined,Low Behavioural Score
APP0000334,C003407,2025-05-14,ACS,7.53,490,Declined,Duplicate Application
APP0000335,C002185,2025-06-23,Nano,237.0,625,Approved,
APP0000336,C004116,2025-03-25,Nano,270.01,324,Declined,Incomplete Data
APP0000337,C002603,2025-05-05,ACS,24.85,726,Approved,
APP0000338,C001207,2025-06-25,Nano,162.86,689,Approved,
APP0000339,C001659,2025-06-04,ACS,9.99,525,Declined,Policy Rule Failure
APP0000340,C000564,2025-03-19,ACS,20.63,547,Approved,
APP0000341,C001431,2025-02-19,BNPL,730.51,532,Declined,Incomplete Data
APP0000342,C003781,2025-03-27,ACS,11.77,645,Declined,Low Behavioural Score
APP0000343,C001111,2025-02-18,ACS,21.04,673,Approved,
APP0000344,C002213,2025-05-24,ACS,26.88,641,Approved,
APP0000345,C000900,2025-03-14,Nano,126.82,514,Approved,
APP0000346,C002434,2025-08-05,Nano,169.01,848,Approved,
APP0000347,C004829,2025-08-04,ACS,22.93,589,Approved,
APP0000348,C003810,2025-05-09,ACS,23.54,858,Approved,
APP0000349,C003822,2025-01-17,ACS,21.12,767,Approved,
APP0000350,C001269,2025-09-05,Nano,167.87,420,Declined,Low Behavioural Score
APP0000351,C001537,2025-06-03,ACS,22.58,612,Approved,
APP0000352,C000486,2025-10-22,Nano,257.04,674,Approved,
APP0000353,C004606,2025-01-20,ACS,27.43,768,Approved,
APP0000354,C004789,2025-04-19,Nano,140.12,672,Approved,
APP0000355,C001695,2025-01-15,Nano,219.35,683,Approved,
APP0000356,C003499,2025-06-01,Nano,133.1,440,Approved,
APP0000357,C001056,2025-06-06,ACS,26.52,796,Approved,
APP0000358,C003261,2025-02-10,ACS,25.77,670,Approved,
APP0000359,C000476,2025-07-17,Nano,230.88,383,Declined,Low Behavioural Score
APP0000360,C001665,2025-01-31,ACS,17.24,781,Approved,
APP0000361,C001967,2025-02-21,ACS,18.45,747,Approved,
APP0000362,C004979,2025-08-15,Nano,244.24,776,Approved,
APP0000363,C002337,2025-09-05,ACS,6.2,426,Declined,Policy Rule Failure
APP0000364,C001113,2025-04-16,Nano,178.94,539,Declined,Duplicate Application
APP0000365,C000236,2025-05-04,ACS,11.0,527,Approved,
APP0000366,C000891,2025-03-05,Nano,188.83,484,Approved,
APP0000367,C001212,2025-04-02,ACS,16.91,740,Approved,
APP0000368,C001592,2025-07-22,Nano,198.63,529,Declined,Fraud Flag
APP0000369,C000682,2025-10-23,Nano,46.34,739,Approved,
APP0000370,C003695,2025-03-11,ACS,28.16,504,Approved,
APP0000371,C001935,2025-04-23,Nano,183.38,745,Approved,
APP0000372,C001186,2025-04-17,ACS,12.36,579,Approved,
APP0000373,C002629,2025-07-16,Nano,243.11,553,Declined,Low Behavioural Score
APP0000374,C001564,2025-05-16,BNPL,714.17,493,Declined,Fraud Flag
APP0000375,C003420,2025-08-21,ACS,16.2,562,Approved,
APP0000376,C002649,2025-09-30,ACS,11.97,505,Declined,Policy Rule Failure
APP0000377,C004662,2025-03-25,BNPL,387.82,685,Approved,
APP0000378,C003250,2025-07-15,ACS,6.28,486,Declined,Incomplete Data
APP0000379,C001835,2025-03-09,ACS,14.61,523,Approved,
APP0000380,C000747,2025-03-14,ACS,17.81,629,Declined,Fraud Flag
APP0000381,C000509,2025-09-13,ACS,26.05,324,Declined,Low Behavioural Score
APP0000382,C003274,2025-01-12,Nano,201.27,483,Declined,Low Behavioural Score
APP0000383,C000165,2025-01-22,ACS,10.44,496,Declined,Low Behavioural Score
APP0000384,C001906,2025-02-13,BNPL,967.32,721,Declined,Fraud Flag
APP0000385,C000103,2025-06-14,Nano,82.04,769,Approved,
APP0000386,C001731,2025-08-13,Nano,192.99,722,Approved,
APP0000387,C004418,2025-01-06,ACS,13.21,736,Approved,
APP0000388,C000396,2025-02-20,Nano,54.16,689,Approved,
APP0000389,C004873,2025-06-01,ACS,25.58,796,Approved,
APP0000390,C004870,2025-02-10,BNPL,630.29,506,Approved,
APP0000391,C004319,2025-02-08,Nano,166.93,645,Approved,
APP0000392,C003466,2025-05-31,ACS,12.51,366,Declined,High Existing Exposure
APP0000393,C000893,2025-05-30,ACS,24.47,735,Approved,
APP0000394,C000500,2025-04-10,ACS,26.32,722,Approved,
APP0000395,C004596,2025-03-26,Nano,254.24,683,Approved,
APP0000396,C001832,2025-06-21,Nano,40.28,512,Approved,
APP0000397,C002249,2025-06-11,BNPL,278.92,594,Approved,
APP0000398,C000401,2025-06-30,Nano,54.68,731,Approved,
APP0000399,C000300,2025-08-25,Nano,105.24,900,Approved,
APP0000400,C002708,2025-05-25,ACS,7.82,457,Declined,Low Behavioural Score
APP0000401,C002028,2025-04-27,ACS,9.42,608,Approved,
APP0000402,C003501,2025-05-12,ACS,22.66,740,Approved,
APP0000403,C004171,2025-02-15,ACS,21.73,762,Approved,
APP0000404,C000283,2025-07-09,Nano,99.14,695,Approved,
