PerformanceID,LoanID,ReportMonth,AmountDue,AmountPaid,OutstandingBalance,DaysPastDue,DelinquencyBucket,DefaultFlag
PF00000042,L0000007,2025-04-01,2.54,1.09,12.34,33,31-60,False
PF00000043,L0000007,2025-05-01,2.54,0.15,12.19,68,61-90,False
PF00000044,L0000007,2025-06-01,2.54,0.0,12.19,88,90+,False
PF00000045,L0000007,2025-07-01,2.54,0.0,12.19,115,90+,True
PF00000046,L0000008,2025-06-01,31.8,26.3,228.06,24,1-30,False
PF00000047,L0000008,2025-07-01,31.8,9.34,218.72,58,31-60,False
PF00000048,L0000008,2025-08-01,31.8,2.58,216.14,45,31-60,False
PF00000049,L0000008,2025-09-01,31.8,10.21,205.93,5,1-30,False
PF00000050,L0000008,2025-10-01,31.8,31.7,174.23,0,Current,False
PF00000051,L0000008,2025-11-01,31.8,31.57,142.66,0,Current,False
PF00000052,L0000008,2025-12-01,31.8,31.58,111.08,0,Current,False
PF00000053,L0000009,2025-07-01,19.29,18.53,135.78,0,Current,False
PF00000054,L0000009,2025-08-01,19.29,18.82,116.96,0,Current,False
PF00000055,L0000009,2025-09-01,19.29,18.63,98.33,0,Current,False
PF00000056,L0000009,2025-10-01,19.29,18.52,79.81,0,Current,False
PF00000057,L0000009,2025-11-01,19.29,18.56,61.25,0,Current,False
PF00000058,L0000009,2025-12-01,19.29,19.15,42.1,0,Current,False
PF00000059,L0000010,2025-03-01,6.64,6.55,46.54,0,Current,False
PF00000060,L0000010,2025-04-01,6.64,6.52,40.02,0,Current,False
PF00000061,L0000010,2025-05-01,6.64,6.34,33.68,0,Current,False
PF00000062,L0000010,2025-06-01,6.64,6.37,27.31,0,Current,False
PF00000063,L0000010,2025-07-01,6.64,6.6,20.71,0,Current,False
PF00000064,L0000010,2025-08-01,6.64,6.4,14.31,0,Current,False
PF00000065,L0000010,2025-09-01,6.64,6.37,7.94,0,Current,False
PF00000066,L0000010,2025-10-01,6.64,6.46,1.48,0,Current,False
PF00000067,L0000010,2025-11-01,6.64,6.63,0.0,0,Current,False
PF00000068,L0000010,2025-12-01,6.64,6.49,0.0,0,Current,False
PF00000069,L0000011,2025-06-01,34.54,33.02,243.32,0,Current,False
PF00000070,L0000011,2025-07-01,34.54,33.14,210.18,0,Current,False
PF00000071,L0000011,2025-08-01,34.54,32.83,177.35,0,Current,False
PF00000072,L0000011,2025-09-01,34.54,33.61,143.74,0,Current,False
PF00000073,L0000011,2025-10-01,34.54,33.44,110.3,0,Current,False
PF00000074,L0000011,2025-11-01,34.54,33.74,76.56,0,Current,False
PF00000075,L0000011,2025-12-01,34.54,33.12,43.44,0,Current,False
PF00000076,L0000012,2025-05-01,2.72,2.71,19.02,0,Current,False
PF00000077,L0000012,2025-06-01,2.72,2.66,16.36,0,Current,False
PF00000078,L0000012,2025-07-01,2.72,2.68,13.68,0,Current,False
PF00000079,L0000012,2025-08-01,2.72,2.65,11.03,0,Current,False
PF00000080,L0000012,2025-09-01,2.72,2.64,8.39,0,Current,False
PF00000081,L0000012,2025-10-01,2.72,2.59,5.8,0,Current,False
PF00000082,L0000012,2025-11-01,2.72,2.63,3.17,0,Current,False
PF00000083,L0000012,2025-12-01,2.72,2.4,0.77,5,1-30,False
PF00000084,L0000013,2025-05-01,70.88,69.47,497.59,0,Current,False
PF00000085,L0000013,2025-06-01,70.88,68.11,429.48,0,Current,False
PF00000086,L0000013,2025-07-01,70.88,60.8,368.68,5,1-30,False
PF00000087,L0000013,2025-08-01,70.88,15.22,353.46,40,31-60,False
PF00000088,L0000013,2025-09-01,70.88,0.36,353.1,63,61-90,False
PF00000089,L0000013,2025-10-01,70.88,18.75,334.35,83,90+,False
PF00000090,L0000013,2025-11-01,70.88,0.0,334.35,101,90+,True
PF00000091,L0000014,2025-02-01,22.64,22.42,158.68,0,Current,False
PF00000092,L0000014,2025-03-01,22.64,21.7,136.98,0,Current,False
PF00000093,L0000014,2025-04-01,22.64,21.68,115.3,0,Current,False
PF00000094,L0000014,2025-05-01,22.64,22.55,92.75,0,Current,False
PF00000095,L0000014,2025-06-01,22.64,22.03,70.72,0,Current,False
PF00000096,L0000014,2025-07-01,22.64,21.86,48.86,0,Current,False
PF00000097,L0000014,2025-08-01,22.64,22.56,26.3,0,Current,False
PF00000098,L0000014,2025-09-01,22.64,22.41,3.89,0,Current,False
PF00000099,L0000014,2025-10-01,22.64,22.17,0.0,0,Current,False
PF00000100,L0000014,2025-11-01,22.64,21.82,0.0,0,Current,False
PF00000101,L0000014,2025-12-01,22.64,22.56,0.0,0,Current,False
PF00000102,L0000015,2025-05-01,1.17,1.14,8.23,0,Current,False
PF00000103,L0000015,2025-06-01,1.17,1.12,7.11,0,Current,False
PF00000104,L0000015,2025-07-01,1.17,1.17,5.94,0,Current,False
PF00000105,L0000015,2025-08-01,1.17,0.98,4.96,23,1-30,False
PF00000106,L0000015,2025-09-01,1.17,0.28,4.68,50,31-60,False
PF00000107,L0000015,2025-10-01,1.17,0.02,4.66,88,61-90,False
PF00000108,L0000015,2025-11-01,1.17,0.1,4.56,82,61-90,False
PF00000109,L0000015,2025-12-01,1.17,0.04,4.52,83,61-90,False
PF00000110,L0000016,2025-06-01,2.79,2.78,19.51,0,Current,False
PF00000111,L0000016,2025-07-01,2.79,2.73,16.78,0,Current,False
PF00000112,L0000016,2025-08-01,2.79,2.69,14.09,0,Current,False
PF00000113,L0000016,2025-09-01,2.79,0.86,13.23,7,1-30,False
PF00000114,L0000016,2025-10-01,2.79,2.15,11.08,18,1-30,False
PF00000115,L0000016,2025-11-01,2.79,2.71,8.37,0,Current,False
PF00000116,L0000016,2025-12-01,2.79,2.21,6.16,15,1-30,False
PF00000117,L0000017,2025-06-01,2.9,1.04,22.18,2,1-30,False
PF00000118,L0000017,2025-07-01,2.9,0.61,21.57,48,31-60,False
PF00000119,L0000017,2025-08-01,2.9,1.33,20.24,9,1-30,False
PF00000120,L0000017,2025-09-01,2.9,2.85,17.39,0,Current,False
PF00000121,L0000017,2025-10-01,2.9,2.77,14.62,0,Current,False
PF00000122,L0000017,2025-11-01,2.9,2.77,11.85,0,Current,False
PF00000123,L0000017,2025-12-01,2.9,1.78,10.07,25,1-30,False
PF00000124,L0000018,2025-07-01,5.14,4.89,36.22,0,Current,False
PF00000125,L0000018,2025-08-01,5.14,5.13,31.09,0,Current,False
PF00000126,L0000018,2025-09-01,5.14,5.0,26.09,0,Current,False
PF00000127,L0000018,2025-10-01,5.14,4.94,21.15,0,Current,False
PF00000128,L0000018,2025-11-01,5.14,4.5,16.65,16,1-30,False
PF00000129,L0000018,2025-12-01,5.14,2.23,14.42,56,31-60,False
PF00000130,L0000019,2025-08-01,2.85,2.72,20.1,0,Current,False
PF00000131,L0000019,2025-09-01,2.85,1.36,18.74,27,1-30,False
PF00000132,L0000019,2025-10-01,2.85,2.28,16.46,7,1-30,False
PF00000133,L0000019,2025-11-01,2.85,0.09,16.37,47,31-60,False
PF00000134,L0000019,2025-12-01,2.85,0.67,15.7,88,61-90,False
PF00000135,L0000020,2025-02-01,1.96,1.88,13.78,0,Current,False
PF00000136,L0000020,2025-03-01,1.96,1.88,11.9,0,Current,False
PF00000137,L0000020,2025-04-01,1.96,1.93,9.97,0,Current,False
PF00000138,L0000020,2025-05-01,1.96,1.89,8.08,-1,Current,False
PF00000139,L0000020,2025-06-01,1.96,1.89,6.19,0,Current,False
PF00000140,L0000020,2025-07-01,1.96,1.91,4.28,0,Current,False
PF00000141,L0000020,2025-07-01,1.96,1.92,2.36,0,Current,False
PF00000142,L0000020,2025-08-01,1.96,1.87,0.49,0,Current,False
PF00000143,L0000020,2025-09-01,1.96,1.88,0.0,0,Current,False
PF00000144,L0000020,2025-10-01,1.96,1.9,0.0,0,Current,False
PF00000145,L0000020,2025-11-01,1.96,1.94,0.0,0,Current,False
PF00000146,L0000020,2025-12-01,1.96,1.87,0.0,0,Current,False
PF00000147,L0000021,2025-07-01,3.64,2.37,26.73,22,1-30,False
PF00000148,L0000021,2025-08-01,3.64,2.13,24.6,28,1-30,False
PF00000149,L0000021,2025-09-01,3.64,0.34,24.26,57,31-60,False
PF00000150,L0000021,2025-10-01,3.64,0.03,24.23,83,61-90,False
PF00000151,L0000021,2025-11-01,3.64,0.58,23.65,79,90+,False
PF00000152,L0000021,2025-12-01,3.64,0.0,23.65,149,90+,True
PF00000153,L0000022,2025-06-01,22.77,22.34,159.79,0,Current,False
PF00000154,L0000022,2025-07-01,22.77,16.56,143.23,30,1-30,False
PF00000155,L0000022,2025-08-01,22.77,16.39,126.84,21,1-30,False
PF00000156,L0000022,2025-09-01,22.77,12.14,114.7,27,1-30,False
PF00000157,L0000022,2025-10-01,22.77,21.93,92.77,0,Current,False
PF00000158,L0000022,2025-11-01,22.77,22.16,70.61,0,Current,False
PF00000159,L0000022,2025-12-01,22.77,22.17,48.44,0,Current,False
PF00000160,L0000023,2025-04-01,13.9,13.51,97.66,0,Current,False
PF00000161,L0000023,2025-05-01,13.9,13.87,83.79,0,Current,False
PF00000162,L0000023,2025-06-01,13.9,13.66,70.13,0,Current,False
PF00000163,L0000023,2025-07-01,13.9,6.75,63.38,14,1-30,False
PF00000164,L0000023,2025-08-01,13.9,11.05,52.33,4,1-30,False
PF00000165,L0000023,2025-09-01,13.9,1.81,50.52,57,31-60,False
PF00000166,L0000023,2025-10-01,13.9,2.41,48.11,70,61-90,False
PF00000167,L0000023,2025-11-01,13.9,1.56,46.55,82,61-90,False
PF00000168,L0000023,2025-12-01,13.9,2.52,44.03,75,61-90,False
PF00000169,L0000024,2025-04-01,16.26,16.18,113.88,0,Current,False
PF00000170,L0000024,2025-05-01,16.26,15.98,97.9,0,Current,False
PF00000171,L0000024,2025-06-01,16.26,16.22,81.68,0,Current,False
PF00000172,L0000024,2025-07-01,16.26,15.94,65.74,0,Current,False
PF00000173,L0000024,2025-07-01,16.26,16.08,49.66,0,Current,False
PF00000174,L0000024,2025-08-01,16.26,16.07,33.59,0,Current,False
PF00000175,L0000024,2025-09-01,16.26,16.16,17.43,0,Current,False
PF00000176,L0000024,2025-10-01,16.26,15.7,1.73,0,Current,False
PF00000177,L0000024,2025-11-01,16.26,15.72,0.0,0,Current,False
PF00000178,L0000024,2025-12-01,16.26,15.83,0.0,0,Current,False
PF00000179,L0000025,2025-07-01,0.84,0.83,5.89,0,Current,False
PF00000180,L0000025,2025-08-01,0.84,0.81,5.08,0,Current,False
PF00000181,L0000025,2025-09-01,0.84,0.81,4.27,0,Current,False
PF00000182,L0000025,2025-10-01,0.84,0.8,3.47,0,Current,False
PF00000183,L0000025,2025-11-01,0.84,0.58,2.89,15,1-30,False
PF00000184,L0000025,2025-12-01,0.84,0.81,2.08,0,Current,False
PF00000185,L0000026,2025-02-01,1.67,1.37,11.99,19,1-30,False
PF00000186,L0000026,2025-03-01,1.67,0.97,11.02,13,1-30,False
PF00000187,L0000026,2025-04-01,1.67,0.61,10.41,18,1-30,False
PF00000188,L0000026,2025-05-01,1.67,0.95,9.46,13,1-30,False
PF00000189,L0000026,2025-06-01,1.67,1.63,7.83,0,Current,False
PF00000190,L0000026,2025-07-01,1.67,1.63,6.2,0,Current,False
PF00000191,L0000026,2025-08-01,1.67,1.64,4.56,0,Current,False
PF00000192,L0000026,2025-09-01,1.67,1.67,2.89,0,Current,False
PF00000193,L0000026,2025-10-01,1.67,1.61,1.28,0,Current,False
PF00000194,L0000026,2025-11-01,1.67,1.63,0.0,0,Current,False
PF00000195,L0000026,2025-12-01,1.67,1.6,0.0,0,Current,False
PF00000196,L0000027,2025-09-01,36.58,36.31,256.32,0,Current,False
PF00000197,L0000027,2025-10-01,36.58,34.78,221.54,0,Current,False
PF00000198,L0000027,2025-11-01,36.58,35.2,186.34,0,Current,False
PF00000199,L0000027,2025-12-01,36.58,15.78,170.56,14,1-30,False
PF00000200,L0000028,2025-01-01,28.66,28.64,200.64,0,Current,False
PF00000201,L0000028,2025-02-01,28.66,27.79,172.85,0,Current,False
PF00000202,L0000028,2025-03-01,28.66,27.79,145.06,0,Current,False
PF00000203,L0000028,2025-04-01,28.66,28.12,116.94,0,Current,False
PF00000204,L0000028,2025-05-01,28.66,28.54,88.4,0,Current,False
PF00000205,L0000028,2025-06-01,28.66,28.28,60.12,0,Current,False
PF00000206,L0000028,2025-07-01,28.66,27.83,32.29,0,Current,False
PF00000207,L0000028,2025-08-01,28.66,28.07,4.22,0,Current,False
PF00000208,L0000028,2025-09-01,28.66,27.45,0.0,0,Current,False
PF00000209,L0000028,2025-10-01,28.66,27.83,0.0,0,Current,False
PF00000210,L0000028,2025-11-01,28.66,28.44,0.0,0,Current,False
PF00000211,L0000028,2025-12-01,28.66,28.25,0.0,0,Current,False
PF00000212,L0000029,2025-03-01,3.55,3.55,24.84,0,Current,False
PF00000213,L0000029,2025-04-01,3.55,3.41,21.43,0,Current,False
PF00000214,L0000029,2025-05-01,3.55,3.54,17.89,0,Current,False
PF00000215,L0000029,2025-05-01,3.55,3.46,14.43,0,Current,False
PF00000216,L0000029,2025-06-01,3.55,3.46,10.97,0,Current,False
PF00000217,L0000029,2025-07-01,3.55,3.51,7.46,0,Current,False
PF00000218,L0000029,2025-08-01,3.55,3.46,4.0,0,Current,False
PF00000219,L0000029,2025-09-01,3.55,3.52,0.48,0,Current,False
PF00000220,L0000029,2025-10-01,3.55,3.52,0.0,0,Current,False
PF00000221,L0000029,2025-11-01,3.55,3.49,0.0,0,Current,False
PF00000222,L0000029,2025-12-01,3.55,1.56,0.0,12,1-30,False
PF00000223,L0000030,2025-05-01,47.82,46.04,336.54,0,Current,False
PF00000224,L0000030,2025-06-01,47.82,46.42,290.12,0,Current,False
PF00000225,L0000030,2025-07-01,47.82,47.43,242.69,0,Current,False
PF00000226,L0000030,2025-08-01,47.82,47.4,195.29,0,Current,False
PF00000227,L0000030,2025-09-01,47.82,46.05,149.24,0,Current,False
PF00000228,L0000030,2025-10-01,47.82,46.55,102.69,0,Current,False
PF00000229,L0000030,2025-11-01,47.82,15.02,87.67,29,1-30,False
PF00000230,L0000030,2025-12-01,47.82,20.39,67.28,22,1-30,False
PF00000231,L0000031,2025-04-01,10.25,9.86,72.13,0,Current,False
PF00000232,L0000031,2025-05-01,10.25,10.18,61.95,0,Current,False
PF00000233,L0000031,2025-05-01,10.25,6.25,55.7,13,1-30,False
PF00000234,L0000031,2025-06-01,10.25,9.95,45.75,0,Current,False
PF00000235,L0000031,2025-07-01,10.25,9.96,35.79,0,Current,False
PF00000236,L0000031,2025-08-01,10.25,9.84,25.95,0,Current,False
PF00000237,L0000031,2025-09-01,10.25,10.06,15.89,0,Current,False
PF00000238,L0000031,2025-10-01,10.25,7.13,8.76,5,1-30,False
PF00000239,L0000031,2025-11-01,10.25,9.9,0.0,0,Current,False
PF00000240,L0000031,2025-12-01,10.25,10.16,0.0,0,Current,False
PF00000241,L0000032,2025-08-01,0.85,0.81,5.97,0,Current,False
PF00000242,L0000032,2025-09-01,0.85,0.84,5.13,0,Current,False
PF00000243,L0000032,2025-10-01,0.85,0.81,4.32,0,Current,False
PF00000244,L0000032,2025-11-01,0.85,0.55,3.77,21,1-30,False
PF00000245,L0000032,2025-12-01,0.85,0.13,3.64,60,31-60,False
PF00000246,L0000033,2025-02-01,35.83,35.56,251.08,0,Current,False
PF00000247,L0000033,2025-03-01,35.83,34.28,216.8,0,Current,False
PF00000248,L0000033,2025-04-01,35.83,34.45,182.35,0,Current,False
PF00000249,L0000033,2025-05-01,35.83,34.62,147.73,0,Current,False
PF00000250,L0000033,2025-06-01,35.83,34.97,112.76,0,Current,False
PF00000251,L0000033,2025-07-01,35.83,34.56,78.2,0,Current,False
PF00000252,L0000033,2025-08-01,35.83,35.31,42.89,0,Current,False
PF00000253,L0000033,2025-09-01,35.83,34.72,8.17,0,Current,False
PF00000254,L0000033,2025-10-01,35.83,34.92,0.0,0,Current,False
PF00000255,L0000033,2025-11-01,35.83,34.24,0.0,0,Current,False
PF00000256,L0000033,2025-12-01,35.83,35.14,0.0,0,Current,False
PF00000257,L0000034,2025-08-01,4.97,4.74,35.04,0,Current,False
PF00000258,L0000034,2025-09-01,4.97,4.88,30.16,0,Current,False
PF00000259,L0000034,2025-10-01,4.97,4.89,25.27,0,Current,False
PF00000260,L0000034,2025-11-01,4.97,4.83,20.44,0,Current,False
PF00000261,L0000034,2025-12-01,4.97,4.77,15.67,0,Current,False
PF00000262,L0000035,2025-02-01,18.08,17.46,127.17,0,Current,False
PF00000263,L0000035,2025-03-01,18.08,17.59,109.58,0,Current,False
PF00000264,L0000035,2025-04-01,18.08,17.92,91.66,0,Current,False
PF00000265,L0000035,2025-05-01,18.08,17.28,74.38,0,Current,False
PF00000266,L0000035,2025-06-01,18.08,17.36,57.02,0,Current,False
PF00000267,L0000035,2025-07-01,18.08,17.77,39.25,0,Current,False
PF00000268,L0000035,2025-08-01,18.08,11.54,27.71,13,1-30,False
PF00000269,L0000035,2025-09-01,18.08,2.45,25.26,31,31-60,False
PF00000270,L0000035,2025-10-01,18.08,1.07,24.19,57,31-60,False
PF00000271,L0000035,2025-11-01,18.08,1.35,22.84,88,61-90,False
PF00000272,L0000035,2025-12-01,18.08,2.96,19.88,82,61-90,False
PF00000273,L0000036,2025-04-01,2.54,2.51,17.83,0,Current,False
PF00000274,L0000036,2025-05-01,2.54,2.43,15.4,0,Current,False
PF00000275,L0000036,2025-05-01,2.54,2.52,12.88,0,Current,False
PF00000276,L0000036,2025-06-01,2.54,2.47,10.41,0,Current,False
PF00000277,L0000036,2025-07-01,2.54,2.49,7.92,0,Current,False
PF00000278,L0000036,2025-08-01,2.54,2.43,5.49,0,Current,False
PF00000279,L0000036,2025-09-01,2.54,2.53,2.96,0,Current,False
PF00000280,L0000036,2025-10-01,2.54,2.44,0.52,0,Current,False
PF00000281,L0000036,2025-11-01,2.54,2.52,0.0,0,Current,False
PF00000282,L0000036,2025-12-01,2.54,0.99,0.0,14,1-30,False
PF00000283,L0000037,2025-03-01,22.77,21.88,160.27,0,Current,False
PF00000284,L0000037,2025-04-01,22.77,22.27,138.0,0,Current,False
PF00000285,L0000037,2025-05-01,22.77,22.75,115.25,0,Current,False
PF00000286,L0000037,2025-06-01,22.77,22.62,92.63,0,Current,False
PF00000287,L0000037,2025-07-01,22.77,22.48,70.15,0,Current,False
PF00000288,L0000037,2025-08-01,22.77,22.74,47.41,0,Current,False
PF00000289,L0000037,2025-09-01,22.77,22.02,25.39,0,Current,False
PF00000290,L0000037,2025-10-01,22.77,22.34,3.05,0,Current,False
PF00000291,L0000037,2025-11-01,22.77,22.16,0.0,0,Current,False
PF00000292,L0000037,2025-12-01,22.77,22.02,0.0,0,Current,False
PF00000293,L0000038,2025-07-01,36.16,34.37,254.9,0,Current,False
PF00000294,L0000038,2025-08-01,36.16,34.55,220.35,0,Current,False
PF00000295,L0000038,2025-09-01,36.16,35.05,185.3,0,Current,False
PF00000296,L0000038,2025-10-01,36.16,34.59,150.71,0,Current,False
PF00000297,L0000038,2025-11-01,36.16,35.2,115.51,0,Current,False
PF00000298,L0000038,2025-12-01,36.16,20.75,94.76,28,1-30,False
PF00000299,L0000039,2025-03-01,30.82,30.42,216.17,0,Current,False
PF00000300,L0000039,2025-04-01,30.82,30.19,185.98,0,Current,False
PF00000301,L0000039,2025-05-01,30.82,30.78,155.2,0,Current,False
PF00000302,L0000039,2025-06-01,30.82,30.56,124.64,0,Current,False
PF00000303,L0000039,2025-07-01,30.82,30.67,93.97,0,Current,False
PF00000304,L0000039,2025-08-01,30.82,24.69,69.28,7,1-30,False
PF00000305,L0000039,2025-09-01,30.82,10.58,58.7,27,1-30,False
PF00000306,L0000039,2025-10-01,30.82,12.2,46.5,16,1-30,False
PF00000307,L0000039,2025-10-01,30.82,19.78,26.72,8,1-30,False
PF00000308,L0000039,2025-11-01,30.82,29.39,0.0,0,Current,False
PF00000309,L0000039,2025-12-01,30.82,30.49,0.0,0,Current,False
PF00000310,L0000040,2025-10-01,19.84,19.15,139.6,0,Current,False
PF00000311,L0000040,2025-11-01,19.84,18.86,120.74,0,Current,False
PF00000312,L0000040,2025-12-01,19.84,19.1,101.64,0,Current,False
PF00000313,L0000041,2025-07-01,1.23,1.21,8.63,0,Current,False
PF00000314,L0000041,2025-08-01,1.23,1.18,7.45,0,Current,False
PF00000315,L0000041,2025-09-01,1.23,1.22,6.23,0,Current,False
PF00000316,L0000041,2025-10-01,1.23,1.22,5.01,0,Current,False
PF00000317,L0000041,2025-11-01,1.23,1.18,3.83,0,Current,False
PF00000318,L0000041,2025-12-01,1.23,1.21,2.62,0,Current,False
PF00000319,L0000042,2025-09-01,18.66,18.48,130.82,0,Current,False
PF00000320,L0000042,2025-10-01,18.66,18.27,112.55,0,Current,False
PF00000321,L0000042,2025-11-01,18.66,14.89,97.66,15,1-30,False
PF00000322,L0000042,2025-12-01,18.66,14.05,83.61,11,1-30,False
PF00000323,L0000043,2025-09-01,15.34,14.58,108.15,0,Current,False
PF00000324,L0000043,2025-10-01,15.34,14.93,93.22,0,Current,False
PF00000325,L0000043,2025-11-01,15.34,14.93,78.29,0,Current,False
PF00000326,L0000043,2025-12-01,15.34,15.31,62.98,0,Current,False
PF00000327,L0000043,2025-12-01,15.34,10.78,52.2,8,1-30,False
PF00000328,L0000044,2025-01-01,1.7,1.63,11.97,0,Current,False
PF00000329,L0000044,2025-02-01,1.7,1.69,10.28,0,Current,False
PF00000330,L0000044,2025-03-01,1.7,1.65,8.63,0,Current,False
PF00000331,L0000044,2025-04-01,1.7,1.62,7.01,0,Current,False
PF00000332,L0000044,2025-05-01,1.7,1.66,5.35,0,Current,False
PF00000333,L0000044,2025-06-01,1.7,1.69,3.66,0,Current,False
PF00000334,L0000044,2025-07-01,1.7,1.7,1.96,0,Current,False
PF00000335,L0000044,2025-08-01,1.7,1.63,0.33,0,Current,False
PF00000336,L0000044,2025-09-01,1.7,1.7,0.0,0,Current,False
PF00000337,L0000044,2025-10-01,1.7,1.69,0.0,0,Current,False
PF00000338,L0000044,2025-11-01,1.7,1.62,0.0,0,Current,False
PF00000339,L0000044,2025-12-01,1.7,1.63,0.0,0,Current,False
PF00000340,L0000045,2025-02-01,1.27,1.26,8.9,0,Current,False
PF00000341,L0000045,2025-03-01,1.27,1.26,7.64,0,Current,False
PF00000342,L0000045,2025-04-01,1.27,1.23,6.41,0,Current,False
PF00000343,L0000045,2025-05-01,1.27,1.22,5.19,0,Current,False
PF00000344,L0000045,2025-06-01,1.27,1.21,3.98,0,Current,False
PF00000345,L0000045,2025-07-01,1.27,1.23,2.75,0,Current,False
PF00000346,L0000045,2025-08-01,1.27,1.23,1.52,0,Current,False
PF00000347,L0000045,2025-08-01,1.27,1.26,0.26,0,Current,False
PF00000348,L0000045,2025-09-01,1.27,1.26,0.0,0,Current,False
PF00000349,L0000045,2025-10-01,1.27,1.25,0.0,0,Current,False
PF00000350,L0000045,2025-11-01,1.27,1.22,0.0,0,Current,False
PF00000351,L0000045,2025-12-01,1.27,1.26,0.0,0,Current,False
PF00000352,L0000046,2025-02-01,84.11,82.21,590.66,0,Current,False
PF00000353,L0000046,2025-03-01,84.11,83.71,506.95,0,Current,False
PF00000354,L0000046,2025-04-01,84.11,72.79,434.16,14,1-30,False
PF00000355,L0000046,2025-05-01,84.11,71.03,363.13,17,1-30,False
PF00000356,L0000046,2025-06-01,84.11,69.79,293.34,11,1-30,False
PF00000357,L0000046,2025-07-01,84.11,83.95,209.39,0,Current,False
PF00000358,L0000046,2025-08-01,84.11,82.57,126.82,0,Current,False
PF00000359,L0000046,2025-09-01,84.11,81.02,45.8,0,Current,False
PF00000360,L0000046,2025-10-01,84.11,83.8,0.0,0,Current,False
PF00000361,L0000046,2025-11-01,84.11,81.61,0.0,0,Current,False
PF00000362,L0000046,2025-12-01,84.11,60.96,0.0,1,1-30,False
PF00000363,L0000047,2025-02-01,1.54,1.51,10.79,0,Current,False
PF00000364,L0000047,2025-03-01,1.54,1.5,9.29,0,Current,False
PF00000365,L0000047,2025-04-01,1.54,1.31,7.98,23,1-30,False
PF00000366,L0000047,2025-05-01,1.54,1.47,6.51,0,Current,False
PF00000367,L0000047,2025-06-01,1.54,1.48,5.03,0,Current,False
PF00000368,L0000047,2025-07-01,1.54,1.03,4.0,21,1-30,False
PF00000369,L0000047,2025-08-01,1.54,0.58,3.42,53,31-60,False
PF00000370,L0000047,2025-09-01,1.54,0.67,2.75,20,1-30,False
PF00000371,L0000047,2025-10-01,1.54,0.59,2.16,22,1-30,False
PF00000372,L0000047,2025-11-01,1.54,1.12,1.04,5,1-30,False
