CustomerID,Country,MNOPartner,CustomerTenureMonths,AverageMonthlyTopUp,TopUpFrequency,BehavioralScore,RegistrationDate
C000050,Nigeria,Glo Nigeria,43,22.02,29,798,19/06/2021
C000051,Nigeria,MTN Nigeria,17,13.09,12,427,30/07/2023
C000052,Nigeria,MTN Nigeria,13,11.93,9,427,08/12/2023
C000053,Uganda,Airtel Uganda,21,7.87,17,628,07/04/2023
C000054,Ghana,MTN Ghana,59,11.34,21,635,09/02/2020
C000055,Uganda,Airtel Uganda,64,13.66,24,786,29/09/2019
C000056,Uganda,MTN Uganda,27,7.23,11,537,26/09/2022
C000057,Kenya,Safaricom,27,8.76,2,420,18/09/2022
C000058,Ghana,MTN Ghana,48,10.03,22,673,24/12/2020
C000059,Nigeria,Airtel Nigeria,86,20.79,25,788,10/11/2017
C000060,Nigeria,MTN Nigeria,66,19.38,35,812,24/07/2019
C000061,Ghana,MTN Ghana,59,14.24,21,730,08/02/2020
C000062,Kenya,Safaricom,44,12.43,21,696,21/05/2021
C000063,Ghana,MTN Ghana,42,11.85,23,755,14/07/2021
C000064,Uganda,MTN Uganda,35,4.25,7,326,24/01/2022
C000065,Ghana,Telecel Ghana,48,8.94,13,626,16/01/2021
C000066,Ghana,MTN Ghana,37,15.66,22,765,09/12/2021
C000067,Ghana,Telecel Ghana,49,14.55,22,674,11/12/2020
C000068,Kenya,Safaricom,71,20.87,26,881,23/02/2019
C000069,Nigeria,MTN Nigeria,1,15.42,13,456,10/11/2024
C000070,Kenya,Safaricom,14,9.05,12,496,12/10/2023
C000071,Nigeria,MTN Nigeria,38,18.38,15,554,02/11/2021
C000072,Kenya,Safaricom,22,16.53,28,789,24/02/2023
C000073,Pakistan,Telenor Pakistan,8,10.82,14,577,15/04/2024
C000074,Nigeria,MTN Nigeria,45,21.51,16,763,10/04/2021
C000075,Nigeria,Glo Nigeria,36,13.32,11,507,04/01/2022
C000076,Nigeria,MTN Nigeria,57,18.1,19,763,30/03/2020
C000077,Nigeria,MTN Nigeria,63,14.21,8,635,19/10/2019
C000078,Ghana,MTN Ghana,31,9.39,12,522,09/06/2022
C000079,Ghana,MTN Ghana,43,13.55,23,763,21/06/2021
C000080,Uganda,Airtel Uganda,25,12.55,24,710,13/12/2022
C000081,Ghana,MTN Ghana,31,8.67,11,606,24/05/2022
C000082,Kenya,Safaricom,39,11.93,12,505,13/10/2021
C000083,Uganda,MTN Uganda,38,7.43,15,,27/10/2021
C000084,Nigeria,MTN Nigeria,62,17.82,25,876,28/11/2019
C000085,Nigeria,Glo Nigeria,44,15.15,18,598,29/04/2021
C000086,Nigeria,MTN Nigeria,70,20.1,30,783,22/03/2019
C000087,Uganda,Airtel Uganda,35,8.46,7,573,23/01/2022
C000088,Kenya,Safaricom,71,14.47,24,777,08/02/2019
C000089,Nigeria,Glo Nigeria,15,10.46,15,469,22/09/2023
C000090,Kenya,Safaricom,37,12.44,15,630,19/11/2021
C000091,Nigeria,MTN Nigeria,29,19.16,21,599,18/07/2022
C000092,Ghana,Telecel Ghana,41,11.09,14,514,30/07/2021
C000093,Kenya,Safaricom,11,9.17,17,472,23/01/2024
C000094,Kenya,Safaricom,37,15.57,21,670,21/11/2021
C000095,Kenya,Airtel Kenya,21,19.49,29,758,14/03/2023
C000096,Ghana,MTN Ghana,52,10.55,21,694,12/09/2020
C000097,Kenya,Safaricom,39,7.89,2,407,10/10/2021
C000098,Nigeria,Airtel Nigeria,71,17.54,24,861,23/02/2019
C000099,Nigeria,Airtel Nigeria,43,12.62,17,533,24/05/2021
C000100,Pakistan,Zong,38,9.34,14,473,14/11/2021
C000101,Pakistan,Telenor Pakistan,68,15.71,25,864,02/06/2019
C000102,Ghana,MTN Ghana,56,13.48,29,740,12/05/2020
C000103,Nigeria,MTN Nigeria,60,19.03,21,775,31/12/2019
C000104,Pakistan,Telenor Pakistan,34,13.05,22,703,09/03/2022
C000105,Uganda,Airtel Uganda,34,7.7,18,615,03/03/2022
C000106,Uganda,MTN Uganda,30,6.43,7,516,13/07/2022
C000107,Kenya,Safaricom,33,10.95,16,620,24/03/2022
C000108,Nigeria,MTN Nigeria,23,22.75,30,725,15/01/2023
C000109,Nigeria,MTN Nigeria,29,22.06,18,747,27/07/2022
C000110,Pakistan,Zong,46,11.68,21,678,20/03/2021
C000111,Kenya,Safaricom,48,14.29,10,582,20/01/2021
C000112,Nigeria,Airtel Nigeria,27,11.51,7,487,22/09/2022
C000113,Kenya,Airtel Kenya,85,14.27,14,699,05/01/2018
C000114,Ghana,Telecel Ghana,37,16.13,27,791,16/12/2021
C000115,Nigeria,MTN Nigeria,19,11.47,1,305,16/05/2023
C000116,Pakistan,Zong,58,10.41,22,630,13/03/2020
C000117,Uganda,Airtel Uganda,61,8.34,18,707,12/12/2019
C000118,Uganda,Airtel Uganda,53,12.21,20,689,05/08/2020
C000119,Kenya,Safaricom,53,12.87,18,617,15/08/2020
C000120,Ghana,MTN Ghana,38,10.26,10,613,11/11/2021
C000121,Ghana,Telecel Ghana,40,5.69,6,341,04/09/2021
C000122,Ghana,MTN Ghana,48,7.34,13,507,20/01/2021
C000123,Nigeria,MTN Nigeria,1,10.46,8,322,24/11/2024
C000124,Kenya,Safaricom,35,12.54,9,530,30/01/2022
C000125,Nigeria,Airtel Nigeria,5,12.38,8,500,07/07/2024
C000126,Kenya,Safaricom,62,11.66,20,635,11/11/2019
C000127,Kenya,Safaricom,25,10.07,14,426,21/11/2022
C000128,Nigeria,MTN Nigeria,74,21.04,22,819,25/11/2018
C000129,Nigeria,Glo Nigeria,24,12.16,5,468,11/01/2023
C000130,Ghana,Telecel Ghana,9,9.74,15,614,26/03/2024
C000131,Nigeria,MTN Nigeria,90,24.32,19,779,22/07/2017
C000132,Pakistan,Jazz,27,9.71,11,457,13/10/2022
C000133,Ghana,MTN Ghana,27,11.28,14,669,19/09/2022
C000134,Kenya,Safaricom,65,17.6,26,751,23/08/2019
C000135,Ghana,Telecel Ghana,69,13.59,18,635,13/04/2019
C000136,Nigeria,MTN Nigeria,26,11.11,16,507,18/10/2022
C000137,Pakistan,Jazz,43,13.66,10,707,03/06/2021
C000138,Kenya,Safaricom,39,13,8,588,14/10/2021
C000139,Uganda,MTN Uganda,24,9.89,23,664,05/01/2023
C000140,Nigeria,Airtel Nigeria,7,11.12,3,362,22/05/2024
C000141,Kenya,Safaricom,45,8.03,1,384,24/03/2021
C000142,Kenya,Safaricom,50,19.19,23,795,03/11/2020
C000143,Pakistan,Jazz,20,10.36,15,558,24/04/2023
C000144,Ghana,Telecel Ghana,21,7.58,11,496,19/03/2023
C000145,Kenya,Safaricom,52,13.72,18,605,20/09/2020
C000146,Nigeria,Airtel Nigeria,15,23.36,21,712,07/10/2023
C000147,Kenya,Airtel Kenya,27,12.08,10,443,27/09/2022
C000148,Kenya,Safaricom,60,10.9,14,444,11/01/2020
C000149,Kenya,Airtel Kenya,66,11.28,15,597,25/07/2019
C000150,Nigeria,MTN Nigeria,52,17.35,19,692,06/09/2020
C000151,Uganda,Airtel Uganda,52,6.89,17,556,20/09/2020
C000152,Pakistan,Jazz,71,14.68,26,798,27/02/2019
C000153,Nigeria,MTN Nigeria,20,14.05,5,425,16/04/2023
C000154,Ghana,MTN Ghana,49,12.86,14,583,23/12/2020
C000155,Nigeria,MTN Nigeria,66,13.85,19,,16/07/2019
C000156,Ghana,MTN Ghana,23,14.81,16,670,17/01/2023
C000157,Nigeria,MTN Nigeria,45,20.18,13,599,01/04/2021
C000158,Ghana,MTN Ghana,52,14.26,16,736,11/09/2020
C000159,Uganda,MTN Uganda,41,11.09,6,645,11/08/2021
C000160,Uganda,MTN Uganda,45,9.98,19,716,21/04/2021
C000161,Nigeria,Glo Nigeria,29,12.12,10,463,12/08/2022
C000162,Pakistan,Zong,40,8.15,11,588,02/09/2021
C000163,Nigeria,MTN Nigeria,58,13.97,24,661,13/03/2020
C000164,Nigeria,MTN Nigeria,44,13.04,12,606,11/05/2021
C000165,Ghana,Telecel Ghana,25,10.33,15,501,05/12/2022
C000166,Kenya,Safaricom,41,16.03,26,820,18/08/2021
C000167,Uganda,MTN Uganda,39,8.14,29,720,16/10/2021
C000168,Uganda,Airtel Uganda,53,8.89,25,765,17/08/2020
C000169,Kenya,Safaricom,34,16.55,14,712,19/02/2022
C000170,Pakistan,Jazz,44,10.57,16,517,13/05/2021
C000171,Nigeria,Airtel Nigeria,43,16.06,23,611,18/06/2021
C000172,Kenya,Safaricom,57,16.07,11,651,10/04/2020
C000173,Nigeria,Airtel Nigeria,38,24.29,24,739,15/11/2021
C000174,Pakistan,Jazz,18,9.89,16,535,29/06/2023
C000175,Nigeria,MTN Nigeria,42,14.56,9,457,30/06/2021
C000176,Nigeria,MTN Nigeria,45,19.54,9,684,19/04/2021
C000177,Kenya,Safaricom,12,10.21,3,340,11/12/2023
C000178,Pakistan,Jazz,55,10.32,18,705,07/06/2020
C000179,Pakistan,Telenor Pakistan,38,9.76,18,507,22/10/2021
C000180,Uganda,MTN Uganda,16,8.27,14,584,19/08/2023
C000181,Pakistan,Telenor Pakistan,68,10.02,20,746,05/05/2019
C000182,Pakistan,Jazz,36,12.17,16,671,02/01/2022
C000183,Kenya,Safaricom,56,13.75,14,529,27/05/2020
C000184,Kenya,Safaricom,1,10.86,7,390,01/12/2024
C000185,Uganda,MTN Uganda,29,8.28,6,447,10/08/2022
C000186,Ghana,Telecel Ghana,15,8.27,7,370,06/10/2023
C000187,Kenya,Safaricom,3,12.58,11,557,09/09/2024
C000188,Nigeria,MTN Nigeria,52,22.08,8,673,27/08/2020
C000189,Uganda,Airtel Uganda,1,6.22,13,473,14/11/2024
C000190,Nigeria,Airtel Nigeria,21,10.72,12,468,07/04/2023
C000191,Pakistan,Telenor Pakistan,61,11.08,21,708,30/11/2019
C000192,Nigeria,Airtel Nigeria,19,14.31,9,483,02/06/2023
C000193,Nigeria,MTN Nigeria,22,17.95,15,600,15/02/2023
C000194,Uganda,Airtel Uganda,48,10.09,19,596,02/01/2021
C000195,Nigeria,Glo Nigeria,15,8.95,4,389,26/09/2023
C000196,Nigeria,Glo Nigeria,44,23.65,26,775,29/04/2021
C000197,Ghana,MTN Ghana,42,8.93,3,441,02/07/2021
C000198,Pakistan,Jazz,16,11.46,15,565,13/08/2023
C000199,Nigeria,Airtel Nigeria,27,,14,573,26/09/2022
C000200,Kenya,Safaricom,62,17.14,26,759,18/11/2019
C000201,Uganda,MTN Uganda,15,9.46,10,566,07/10/2023
C000202,Pakistan,Jazz,74,11.97,18,738,05/11/2018
C000203,Kenya,Safaricom,36,11.76,12,644,25/12/2021
C000204,Nigeria,MTN Nigeria,54,14.24,16,667,23/07/2020
C000205,Nigeria,MTN Nigeria,59,15.85,22,723,09/02/2020
C000206,Nigeria,MTN Nigeria,38,17.7,10,651,25/10/2021
C000207,Nigeria,MTN Nigeria,33,18.82,16,647,28/03/2022
C000208,Ghana,Telecel Ghana,30,10.35,15,536,08/07/2022
C000209,Nigeria,MTN Nigeria,37,15.14,10,482,14/12/2021
C000210,Kenya,Safaricom,26,11.25,18,663,16/10/2022
C000211,Ghana,MTN Ghana,3,6.68,2,413,22/09/2024
C000212,Ghana,MTN Ghana,57,12.17,15,587,01/04/2020
C000213,Nigeria,Glo Nigeria,8,13.21,7,393,23/04/2024
C000214,Uganda,Airtel Uganda,45,,17,652,31/03/2021
C000215,Uganda,MTN Uganda,43,11.65,21,728,14/06/2021
C000216,Uganda,MTN Uganda,35,11.04,15,618,29/01/2022
C000217,Nigeria,MTN Nigeria,59,20.49,14,616,11/02/2020
C000218,Nigeria,MTN Nigeria,20,13.03,4,416,06/05/2023
C000219,Pakistan,Jazz,7,5.18,7,300,16/05/2024
C000220,Kenya,Safaricom,34,10.55,12,626,05/03/2022
C000221,Kenya,Safaricom,38,16.45,21,719,30/10/2021
C000222,Kenya,Safaricom,39,15.81,30,765,18/10/2021
C000223,Ghana,MTN Ghana,33,9.85,22,652,14/04/2022
C000224,Pakistan,Jazz,73,10.43,24,751,13/12/2018
C000225,Nigeria,MTN Nigeria,59,24.4,23,755,29/01/2020
C000226,Pakistan,Jazz,41,9.36,20,732,17/08/2021
C000227,Nigeria,MTN Nigeria,61,22.35,17,732,29/12/2019
C000228,Ghana,MTN Ghana,1,9.61,7,412,25/11/2024
C000229,Ghana,MTN Ghana,34,7.21,6,320,17/03/2022
C000230,Nigeria,MTN Nigeria,61,14.32,20,666,22/12/2019
C000231,Nigeria,Airtel Nigeria,73,20.61,21,649,14/12/2018
C000232,Kenya,Airtel Kenya,66,18.03,28,789,09/07/2019
C000233,Pakistan,Jazz,42,,14,590,03/07/2021
C000234,Ghana,MTN Ghana,47,10.05,12,501,09/02/2021
C000235,Pakistan,Telenor Pakistan,35,9.44,12,705,12/02/2022
C000236,Uganda,Airtel Uganda,25,8.88,22,541,27/11/2022
C000237,Kenya,Safaricom,48,19.55,21,768,25/12/2020
C000238,Uganda,MTN Uganda,50,7.8,14,513,17/11/2020
C000239,Nigeria,MTN Nigeria,28,21.82,16,660,29/08/2022
C000240,Nigeria,Airtel Nigeria,21,15.89,13,593,02/04/2023
C000241,Uganda,MTN Uganda,32,9.01,11,511,07/05/2022
C000242,Uganda,MTN Uganda,32,7.41,3,420,02/05/2022
C000243,Nigeria,MTN Nigeria,14,10.64,1,460,03/11/2023
C000244,Kenya,Safaricom,54,17.96,24,694,21/07/2020
C000245,Ghana,MTN Ghana,63,14.76,21,684,29/10/2019
C000246,Pakistan,Telenor Pakistan,70,11.8,20,796,14/03/2019
C000247,Ghana,MTN Ghana,27,9.35,10,421,17/09/2022
C000248,Kenya,Safaricom,34,11.41,19,595,05/03/2022
C000249,Kenya,Safaricom,45,7.15,4,387,04/04/2021
C000250,Kenya,Airtel Kenya,45,13.23,22,713,24/03/2021
C000251,Ghana,MTN Ghana,64,13.69,27,776,08/09/2019
C000252,Pakistan,Jazz,83,10.25,19,816,02/03/2018
C000253,Kenya,Safaricom,63,14.05,25,787,07/10/2019
C000254,Nigeria,Airtel Nigeria,20,19.71,16,587,01/05/2023
C000255,Nigeria,Airtel Nigeria,15,15.9,22,575,11/09/2023
C000256,Uganda,Airtel Uganda,28,9.62,16,562,18/08/2022
C000257,Uganda,Airtel Uganda,60,9.44,21,771,27/01/2020
C000258,Nigeria,MTN Nigeria,41,12.9,13,579,25/07/2021
C000259,Nigeria,MTN Nigeria,68,18.21,23,580,26/05/2019
C000260,Ghana,MTN Ghana,52,11.96,19,718,10/09/2020
C000261,Nigeria,Airtel Nigeria,42,19.26,23,731,29/06/2021
C000262,Uganda,Airtel Uganda,43,15.46,27,894,18/06/2021
C000263,Kenya,Safaricom,36,8.16,10,373,17/01/2022
C000264,Nigeria,Glo Nigeria,26,13.46,15,477,01/11/2022
C000265,Pakistan,Jazz,11,10.2,14,576,20/01/2024
C000266,Nigeria,MTN Nigeria,33,12.43,12,554,31/03/2022
C000267,Nigeria,MTN Nigeria,21,18.37,14,605,15/03/2023
C000268,Nigeria,Glo Nigeria,19,12.97,3,462,04/06/2023
C000269,Nigeria,Glo Nigeria,44,16.06,20,704,01/05/2021
C000270,Nigeria,MTN Nigeria,11,12.82,10,461,01/02/2024
C000271,Nigeria,Glo Nigeria,29,16.18,12,598,02/08/2022
C000272,Nigeria,Glo Nigeria,39,22.06,15,775,04/10/2021
C000273,Nigeria,Airtel Nigeria,22,18.87,15,561,01/03/2023
C000274,Ghana,Telecel Ghana,25,13.34,19,652,08/12/2022
C000275,Ghana,MTN Ghana,22,9.1,13,512,08/03/2023
C000276,Kenya,Airtel Kenya,18,14.75,9,538,15/06/2023
C000277,Kenya,Safaricom,54,17.62,22,719,28/06/2020
C000278,Kenya,Safaricom,45,11.27,18,669,20/04/2021
C000279,Pakistan,Jazz,40,6.14,12,430,13/09/2021
C000280,Pakistan,Telenor Pakistan,88,12.25,24,898,11/09/2017
C000281,Nigeria,Glo Nigeria,52,14.6,23,671,21/09/2020
C000282,Nigeria,MTN Nigeria,52,19.07,26,713,08/09/2020
C000283,Nigeria,Glo Nigeria,54,17.29,20,692,18/07/2020
C000284,Nigeria,MTN Nigeria,66,28.42,29,882,03/07/2019
C000285,Ghana,MTN Ghana,27,8.89,13,472,22/09/2022
C000286,Kenya,Safaricom,25,9.25,6,467,21/11/2022
C000287,Nigeria,Airtel Nigeria,36,25.86,22,794,16/01/2022
C000288,Kenya,Safaricom,58,15.52,21,716,24/03/2020
C000289,Kenya,Safaricom,41,11.55,26,667,28/07/2021
C000290,Nigeria,Airtel Nigeria,49,11.18,6,491,17/12/2020
C000291,Uganda,MTN Uganda,54,10.36,25,659,13/07/2020
C000292,Nigeria,MTN Nigeria,35,19.09,19,710,13/02/2022
C000293,Pakistan,Zong,69,13.11,23,773,03/05/2019
C000294,Nigeria,Airtel Nigeria,1,20.04,21,627,11/11/2024
C000295,Uganda,Airtel Uganda,52,7.32,17,435,19/09/2020
C000296,Pakistan,Telenor Pakistan,14,11.28,16,579,03/11/2023
C000297,Pakistan,Zong,52,12.84,25,712,30/08/2020
C000298,Uganda,MTN Uganda,41,9.28,11,580,30/07/2021
C000299,Uganda,MTN Uganda,50,6.9,12,563,17/11/2020
C000300,Ghana,MTN Ghana,55,15.59,23,898,01/06/2020
C000301,Uganda,Airtel Uganda,1,6.87,8,463,03/11/2024
C000302,Nigeria,Airtel Nigeria,30,16.4,17,581,04/07/2022
C000303,Kenya,Safaricom,38,13.83,19,672,05/11/2021
C000304,Kenya,Safaricom,4,13.75,22,588,15/08/2024
C000305,Pakistan,Jazz,47,11.07,29,723,17/02/2021
C000306,Kenya,Safaricom,24,14.58,17,651,17/12/2022
C000307,Kenya,Airtel Kenya,47,12.75,13,610,18/02/2021
C000308,Ghana,MTN Ghana,27,11.9,17,534,22/09/2022
C000309,Nigeria,MTN Nigeria,79,19.18,27,764,20/06/2018
C000310,Nigeria,MTN Nigeria,23,15.21,12,480,08/02/2023
C000311,Kenya,Safaricom,26,9.76,10,390,31/10/2022
C000312,Kenya,Safaricom,39,13.94,21,680,11/10/2021
C000313,Nigeria,MTN Nigeria,12,19.1,12,605,10/12/2023
C000314,Kenya,Safaricom,55,22.16,22,874,10/06/2020
C000315,Kenya,Safaricom,59,17.89,21,742,16/02/2020
C000316,Kenya,Safaricom,57,19.61,21,755,20/04/2020
C000317,Kenya,Safaricom,36,13.93,19,660,13/01/2022
C000318,Ghana,Telecel Ghana,11,12.44,13,560,22/01/2024
C000319,Nigeria,MTN Nigeria,65,26.35,19,846,16/08/2019
C000320,Pakistan,Jazz,39,10.6,6,565,21/09/2021
C000321,Pakistan,Jazz,62,14.35,26,773,10/11/2019
C000322,Kenya,Safaricom,35,15.56,15,642,03/02/2022
C000323,Kenya,Airtel Kenya,1,11.08,10,483,21/11/2024
C000324,Kenya,Safaricom,41,12.82,12,562,13/08/2021
C000325,Uganda,MTN Uganda,31,7.78,9,543,28/05/2022
C000326,Ghana,MTN Ghana,37,7.59,1,347,14/12/2021
C000327,Uganda,Airtel Uganda,27,6.68,14,478,14/10/2022
C000328,Kenya,Airtel Kenya,24,11.81,9,461,16/12/2022
C000329,Ghana,MTN Ghana,45,11.64,20,637,21/04/2021
C000330,Nigeria,MTN Nigeria,37,18.17,24,727,12/12/2021
C000331,Uganda,Airtel Uganda,32,8.15,20,677,01/05/2022
C000332,Nigeria,Airtel Nigeria,48,18.14,26,769,17/01/2021
C000333,Ghana,MTN Ghana,18,10.95,14,552,21/06/2023
C000334,Pakistan,Jazz,15,6.45,12,385,23/09/2023
C000335,Nigeria,MTN Nigeria,55,10.55,14,474,24/06/2020
C000336,Ghana,Telecel Ghana,60,,24,703,15/01/2020
C000337,Nigeria,Airtel Nigeria,44,16.44,14,643,28/04/2021
C000338,Uganda,Airtel Uganda,69,9.04,22,721,22/04/2019
C000339,Nigeria,Airtel Nigeria,30,16.66,12,685,26/06/2022
C000340,Pakistan,Jazz,86,13.35,28,758,22/11/2017
C000341,Nigeria,MTN Nigeria,39,21.7,18,722,06/10/2021
C000342,Pakistan,Jazz,90,17.24,26,898,25/07/2017
C000343,Uganda,Airtel Uganda,49,4.97,1,382,09/12/2020
C000344,Ghana,MTN Ghana,27,13.15,24,817,12/10/2022
C000345,Uganda,MTN Uganda,60,7.33,16,628,15/01/2020
C000346,Uganda,MTN Uganda,47,11.9,31,796,09/02/2021
C000347,Pakistan,Telenor Pakistan,29,7.79,20,614,23/07/2022
C000348,Nigeria,Airtel Nigeria,45,14.5,14,614,01/04/2021
C000349,Ghana,Telecel Ghana,22,11.81,10,620,24/02/2023
C000350,Nigeria,MTN Nigeria,54,18.27,12,,15/07/2020
C000351,Ghana,Telecel Ghana,11,9.12,6,467,19/01/2024
C000352,Nigeria,Airtel Nigeria,42,18.57,12,637,22/06/2021
C000353,Ghana,Telecel Ghana,63,14.34,20,684,05/10/2019
C000354,Ghana,Telecel Ghana,56,13.06,22,774,20/05/2020
C000355,Kenya,Airtel Kenya,28,11.25,14,565,06/09/2022
C000356,Kenya,Airtel Kenya,45,13.69,12,611,08/04/2021
C000357,Uganda,Airtel Uganda,11,6.53,14,552,18/01/2024
C000358,Uganda,MTN Uganda,23,6.87,10,597,22/01/2023
C000359,Kenya,Safaricom,34,13.87,17,651,23/02/2022
C000360,Ghana,Telecel Ghana,58,11.32,24,730,12/03/2020
C000361,Pakistan,Telenor Pakistan,57,9.59,22,784,03/04/2020
C000362,Nigeria,MTN Nigeria,46,18.51,18,622,22/03/2021
C000363,Nigeria,MTN Nigeria,29,16.77,4,517,09/08/2022
C000364,Nigeria,Glo Nigeria,31,15.4,11,683,01/06/2022
C000365,Ghana,Telecel Ghana,42,8.15,9,402,06/07/2021
C000366,Kenya,Airtel Kenya,21,14.88,17,540,15/03/2023
C000367,Uganda,MTN Uganda,57,9.88,22,781,08/04/2020
C000368,Ghana,Telecel Ghana,37,12.85,26,635,06/12/2021
C000369,Kenya,Airtel Kenya,44,11.02,10,595,05/05/2021
C000370,Pakistan,Jazz,45,15.91,22,831,19/04/2021
C000371,Uganda,MTN Uganda,47,6.13,13,538,10/02/2021
C000372,Nigeria,Glo Nigeria,33,8.7,5,308,17/04/2022
C000373,Kenya,Safaricom,46,14.93,11,544,19/03/2021
C000374,Kenya,Safaricom,29,11.91,6,483,03/08/2022
C000375,Nigeria,Airtel Nigeria,43,17.81,25,774,21/06/2021
C000376,Nigeria,Airtel Nigeria,89,22.44,22,734,05/09/2017
C000377,Pakistan,Jazz,29,13.37,18,693,20/07/2022
C000378,Kenya,Safaricom,38,10.43,11,455,24/10/2021
C000379,Kenya,Safaricom,41,11.13,15,604,03/08/2021
C000380,Uganda,Airtel Uganda,21,5.91,8,430,15/03/2023
C000381,Ghana,MTN Ghana,38,13.2,14,592,18/11/2021
C000382,Pakistan,Telenor Pakistan,28,8.23,12,592,17/08/2022
C000383,Uganda,Airtel Uganda,29,6.14,5,435,01/08/2022
C000384,Kenya,Safaricom,55,13.87,21,783,15/06/2020
C000385,Kenya,Safaricom,85,12.45,20,711,16/12/2017
C000386,Pakistan,Telenor Pakistan,55,10.56,10,637,13/06/2020
C000387,Uganda,MTN Uganda,42,8.19,19,584,03/07/2021
C000388,Pakistan,Jazz,43,7.59,15,583,12/06/2021
C000389,Nigeria,MTN Nigeria,57,12.02,8,512,12/04/2020
C000390,Pakistan,Zong,10,6.22,16,463,04/03/2024
C000391,Ghana,MTN Ghana,35,8.78,17,621,10/02/2022
C000392,Nigeria,MTN Nigeria,17,16.53,15,726,25/07/2023
C000393,Ghana,Telecel Ghana,51,13.68,25,678,26/09/2020
C000394,Ghana,MTN Ghana,51,8.89,22,634,19/10/2020
C000395,Nigeria,MTN Nigeria,20,14.63,11,583,25/04/2023
C000396,Kenya,Safaricom,65,15.37,18,689,30/08/2019
C000397,Uganda,MTN Uganda,11,7.35,6,423,22/01/2024
C000398,Nigeria,MTN Nigeria,30,17.71,8,591,21/06/2022
C000399,Kenya,Safaricom,53,,25,796,15/08/2020
C000400,Kenya,Safaricom,70,13.98,24,728,11/03/2019
C000401,Kenya,Safaricom,34,11.95,24,730,07/03/2022
C000402,Pakistan,Jazz,31,6.51,11,489,20/05/2022
C000403,Uganda,MTN Uganda,46,6.89,18,576,05/03/2021
C000404,Nigeria,MTN Nigeria,49,21.82,13,653,14/12/2020
